file,extension,path,lang_task_title,lang_task_description,lang_task_in_progress_dialog,lang_task_complete_dialog
reddragon,.lang,tasks\lang\spanish\reddragon.lang,Libélulas rayadas,¿Han visto las libélulas rojas volando por ahí? Creo que quiero una.,"[thinking]Perdona que te pregunte, pero me encantaría conseguir una [green]libélula rayada[/green]. ¡Son los insectos más bonitos que conozco!///[neutral]Pero no tengo prisa, así que si llegas a ver una, tráemela. Creo que estarán por aquí hasta finales de otoño.","[happy]Esa es una [green]libélula rayada[/green] de color rojo brillante, ¿no? Sí, lo es. Me imagino que te tomó un tiempo encontrar esta belleza de insecto.///[neutral]Un trato es un trato, así que te daré tu recompensa. Muchas gracias, #player_name#."
researchproject,.lang,tasks\lang\spanish\researchproject.lang,Proyecto de investigación,¡Quiero saber más sobre las plantas que crecen cerca! Se busca alguien que coseche unas cuantas y me cuente sus propiedades.,"[neutral]Oh, ¿has oído hablar de mi proyecto? Sí, estoy pensando en escribir un libro sobre plantas, pero no sé mucho sobre ellas.///[playful]¡Ahí es donde entras tú! Necesito que alguien encuentre un montón de plantas que crecen en la naturaleza y me cuente todo lo que encuentre. ¿Puedes hacer eso por mi?","[happy]¡Oh, es bueno! ¿Ya encontraste todas esas plantas? ¡Genial!///[thinking]Cuéntame un poquito de cada uno e incluso te dejaré quedártelos. Lo que más siento es curiosidad por saber qué tipos de plantas crecen cerca.///[happy]¡Gracias, #player_name#! No podría haberlo hecho sin ti."
seasidesouvenir,.lang,tasks\lang\spanish\seasidesouvenir.lang,Recuerdo de la playa,"Sé que es poco probable, pero ¿alguien tiene una caracola que le sobre? ¡Llevo mucho tiempo buscando una!","[shocked]Escuché que si apoyas una [green]caracola[/green] en tu oreja, ¡puedes oír el mar!///[neutral]Y ahora tengo que comprobar si es cierto o no. ¿Lo es?///[shocked]¡Supongo que solo hay una forma de averiguarlo!","[shocked]¡Guau, una verdadera [green]caracola[/green]! ¿Crees que oiré el mar si la apoyo en mi oreja? Aquí va...///[happy]¡Sí que suena un poco como el mar! ¡Qué divertido!///[playful]Gracias por conseguirla para mí."
shadowstone,.lang,tasks\lang\spanish\shadowstone.lang,Piedra de sombra,En las cuevas más oscuras se encuentra una piedra preciosa especial que necesito. Debo tenerlo pronto...,"[shocked]¡No estoy de humor para hablar sobre los detalles de mi solicitud! ¡Simplemente debo adquirir algunas de las piedras preciosas conocidas como [green]Pedrascuras[/green], y debo adquirirlas rápidamente!","[playful]¿Tienes las piedras preciosas que necesito? Bien, bien... Estaba empezando a perder la esperanza de que me los entregarías.///[neutral]Has demostrado ser un digno aliado."
shrewsouffle,.lang,tasks\lang\spanish\shrewsouffle.lang,Suflé de musaraña,"Me gustaría probar una nueva receta, pero se me acabaron las musarañas. ¿Alguien tiene tiempo libre para buscar algunas para mí? ¡Sería estupendo!","[neutral]Hace muchos años, probé un delicioso platillo llamado [red]suflé de musaraña[/red]. Recientemente encontré la receta para prepararlo, pero no puedo conseguir los ingredientes.///[shocked]¡Todo lo que necesito son un par de [green]musarañas[/green]! Oye, #player_name#, tú sabes cazar, ¿verdad? ¿Crees que podrías atraparlas para mí?","[playful]¡Oh, qué emoción! Ahí están las [green]musarañas[/green] que necesito para mi receta. ¡Gracias, #player_name#!///[thinking]Espero que salga igual de bueno que el platillo original..."
skirmishes,.lang,tasks\lang\spanish\skirmishes.lang,Escaramuzas,Siempre parece haber peleas en algún lugar del bosque. Necesitamos soldados capaces que se unan a la lucha y derroten a los enemigos.,"[neutral]¿Estás aquí para preguntar sobre la tarea que publiqué? Así es, necesitamos más soldados en el frente.///[thinking]Cada día surgen más y más escaramuzas. Las encontrarás en tu mapa.///[neutral]Necesitamos que te unas a las batallas y luches por #colony_title_with_definite_article#. ¿Puedes hacerlo, #player_name#?","[happy]Escuché que te fue muy bien en el campo de batalla. Dicen que peleas con la fuerza de diez gatos.///[playful]Es una fortuna tenerte como #leader_title#, #player_name#."
slimysnack,.lang,tasks\lang\spanish\slimysnack.lang,Bocadillo baboso,"Necesito conseguir ranas, pero nunca viajo al pantano. Si alguien se dirige hacia allí, agradecería su ayuda.","[neutral]Ah, ¿viste mi publicación en la pizarra de tareas? Estoy buscando [green]ranas[/green] del pantano que está al suroeste.///[shocked]¡No son para mí, claro! La textura deja mucho que desear. Son para regalar.///[neutral]Un obsequio bien pensado sirve para hacer amigos, #player_name#.","[shocked]Ahí están las [green]ranas[/green]. Bastante desagradables al tacto, pero me han dicho que son una rara exquisitez en ciertas comunidades.///[neutral]Me las quedaré. Agradezco tu colaboración, #player_name#. No la olvidaré."
spelunking,.lang,tasks\lang\spanish\spelunking.lang,Espeleología,Se busca: alguien con ansias de exploración y aventura. Debe encontrar una nueva ruta por las minas.,"[neutral]La compañía quiere que hallemos nuevas rutas para llegar al fondo de la mina. El sindicato dice que necesitamos encontrar un túnel más estable, que no se derrumbe tan a menudo.///[neutral]Bah, siempre están ocupando el valioso tiempo de mis mineros. No puedo prescindir de uno de los topos para hacer la excavación, así que te contraté a ti. ¿Crees estar a la altura del desafío?","[neutral]¡Tu cuerpo está todo cubierto de polvo y escombros! Deberías ver tu pelaje, está bastante sucio.///[neutral]A juzgar por tu apariencia, hiciste lo que te pedí, y estás aquí para recibir tu recompensa. Toma, te la has ganado.///[neutral]Publicaré otro trabajo en la pizarra si llegamos a necesitar tus habilidades de excavación de nuevo. ¡Ahora vete, tengo trabajo que hacer!"
squeakers,.lang,tasks\lang\spanish\squeakers.lang,Chillidos,"Mis topos se ponen nerviosos por esos molestos murciélagos. Están por todas partes en las cuevas. Necesitamos que alguien venga y elimine algunos, ¿está bien?","[neutral]¡Casi no podemos trabajar aquí con todos esos chillidos que vienen de abajo! Nos están volviendo locos.///[neutral]Cuanto más rápido resuelvas el problema, más productivos serán mis topos. ¡Así que apúrate!","[neutral]¿Eh? ¿Eliminaste a los murciélagos como te pedí? Eso explica por qué la mina está tan tranquila.///[neutral]Está bien, aquí tienes las [green]fichas de tarea[/green] que te prometí. Buen trabajo. Te avisaré si vuelven, ¿de acuerdo?"
stonestudy,.lang,tasks\lang\spanish\stonestudy.lang,Estudio arqueológico,¿Han visto las esculturas estacionales que hay en la naturaleza? Existen cuatro en total. Estoy buscando a alguien para visitar un par de estas esculturas.,"[neutral]¿Sí, #player_name#? ¿Tienes preguntas sobre la tarea que publiqué?///[thinking]Quiero enviarte a inspeccionar algunas de las [orange]esculturas estacionales[/orange] que se encuentran en la naturaleza. Existen cuatro en total, pero solo necesito que visites dos.///[neutral]Luego debes volver para informarme. No conozco toda su historia, pero con visitas y estudios regulares, quizás podamos descubrirla.","[thinking]¿Visitaste las [orange]esculturas estacionales[/orange]? Excelente trabajo, #player_name#. ¿Notaste algo extraño o fuera de lugar?///[neutral]¿No? ¿Estaban como siempre? Qué bien. Sería alarmante si hubieran cambiado.///[thinking]De todas formas, aquí está tu recompensa. Gracias por ayudarme."
strangeshroom,.lang,tasks\lang\spanish\strangeshroom.lang,Seta singular,"Necesito una falsa oronja. No hagas preguntas, solo tráemela.","[neutral]Sí, necesito una [green]falsa oronja[/green]. Es un hongo peculiar con un sombrero moteado.///[thinking]No, no te voy a dar una explicación. Yo no te hago preguntas sobre todo lo que haces, ¿verdad?","[neutral]Ah, es un poco pequeño, pero supongo que servirá. Aquí tienes algunas [green]fichas de tarea[/green] o algo así."
strongscent,.lang,tasks\lang\spanish\strongscent.lang,Protección púrpura,He notado que las sombras felinas se mantienen alejadas del olor de la lavanda. Necesitamos cosechar toda la que podamos para establecer una barrera fuerte alrededor de nuestro territorio.,"[neutral]Ve a buscar [green]lavanda[/green]. No debería ser difícil de encontrar, es de color morado brillante y tiene un aroma muy intenso.///[thinking]Nos ayudará a mantener nuestras fronteras seguras. Confía en mí.","[neutral]Buen trabajo, es suficiente [green]lavanda[/green] por ahora. La tomaré y la pondré donde sea necesario."
takenashine,.lang,tasks\lang\spanish\takenashine.lang,Todo lo que brilla es oro,¡Agradeceré enormemente a cualquiera que pueda conseguirme una mena de oro! Parece que perdí la mía.,"[neutral]¿Viste mi solicitud en la pizarra de tareas? ¡Excelente!///[neutral]Seguramente tus habilidosas patas obtendrán una [green]mena de oro[/green] en poco tiempo. ¡Cuento contigo, #player_name#!","[neutral]¡Sí, parece ser una [green]mena de oro[/green]! Permíteme evaluar su calidad...///[neutral]Este mineral debe haber venido de una veta abundante. Te has lucido, #player_name#. ¡Mi colección vuelve a estar completa!"
thehunt,.lang,tasks\lang\spanish\thehunt.lang,La cacería,¡La cacería ha comenzado! El pueblo siempre necesita de más comida. Busco a alguien que cace unas cuantas presas. Puede quedarse con lo que atrape.,[thinking]Nunca viene mal tener comida de más. Te pagaré con [green]fichas de tarea[/green] si consigues cazar algunas presas.///[neutral]Incluso te dejaré quedarte con lo que atrapes. ¿Qué opinas?,"[neutral]Escuché por ahí que estuviste un largo tiempo cazando en el bosque, #player_name#.///[thinking]La colonia aprecia tus esfuerzos para lograr que haya suficiente comida. Excelente trabajo."
theirony,.lang,tasks\lang\spanish\theirony.lang,Voluntad de hierro,"Se me acabó el hierro. Es la primera vez. Necesito que alguien vaya a excavar por mí, no puedo dejar la fragua.","[neutral]Alguien vino y se llevó mi [green]mena de hierro[/green]! ¿Fuiste tú, #player_name#?///[neutral]Si es así, será mejor que no te atrape. De cualquier manera, necesito más, ¡así que ponte a excavar!","[neutral]Oye, esas son unas [green]menas de hierro[/green], ¿no es así? ¡Dámelas, rápido!///[neutral]Mmm. Es la [green]mena de hierro[/green] de peor calidad que he visto, pero servirá por ahora."
thisiswar,.lang,tasks\lang\spanish\thisiswar.lang,Esta es la guerra,"El equipo de exploración nos informa que hay hordas de sombras felinas acercándose. Nuestras tropas no podrán combatirlas, solicitan refuerzos inmediatos.","[angry]¡Oye, la batalla es por allá! ¿Qué haces aquí?///[thinking]Nuestras tropas necesitan con urgencia alguien que las ayude a reagruparse, y tú no estás con ellas. ¡Vamos, #player_name#, ve a luchar por tu #colony_title#!",[playful]Acabo de recibir el último informe del grupo de exploración. Escuché que fuiste crucial para cambiar el curso de la batalla.///[happy]Fuiste de gran ayuda para nuestras tropas. Buen trabajo.
toadtroubles,.lang,tasks\lang\spanish\toadtroubles.lang,Sapo verrugoso,Estaba hurgando en mi caja de almacenamiento y me di cuenta de que se me acabaron los sapos. Los necesito para un proyecto en el que estoy trabajando. ¿Alguien puede ayudarme?,"[neutral]Sí, ¿viniste a preguntar sobre los [green]sapos[/green]? Necesito algunos para un proyecto.///[thinking]Según mi teoría, podría combinar las verrugas del [green]sapo[/green] con algunas hierbas para elaborar una crema para el pelaje. Suena raro, lo sé. Pero quizás funcione. O quizás no.///[neutral]De todos modos, no tengo [green]sapos[/green] para experimentar, así que necesito que encuentres algunos para mí. ¿Puedes hacerlo?","[shocked]¡Ahí están los especímenes que solicité! ¿Cuánto tiempo te llevó encontrar a estos animales?///[playful]No importa, los aceptaré con gusto. Buen trabajo, #player_name#."
towndefense,.lang,tasks\lang\spanish\towndefense.lang,Defensa del pueblo,Esas desagradables sombras felinas han estado acercándose cada vez más al pueblo. Necesitamos que alguien detenga su avance.,"[neutral]¿Lo has notado? Las sombras felinas se están acercando cada vez más al pueblo. Es inquietante, por decir lo menos.///[thinking]Necesitamos a alguien valiente que vaya y las detenga. La seguridad de #colony_title_with_demonstrative_article# depende de ello.","[neutral]Le has hecho un gran servicio a tu #colony_title#, #player_name#. Una vez más, estamos a salvo. ¡Agradecemos tus esfuerzos!"
unkindcandles,.lang,tasks\lang\spanish\unkindcandles.lang,Moscas molestas,"¡Tenemos un gran problema en las minas! Mis topos no pueden trabajar porque esas horribles moscandelas los atacan. Necesito que alguien venga y las elimine, ¿de acuerdo?",[neutral]Los topos que contraté son un montón de bebés. No quieren seguir cavando porque dimos con un nido de desagradables [red]moscandelas[/red].///[neutral]¿Crees que puedas bajar y eliminar algunas de ellas? Así podremos volver al trabajo.,"[neutral]Escucho picos moviéndose de nuevo. Debes haber derrotado suficientes de esas molestas [red]moscandelas[/red] para que los topos vuelvan a trabajar.///[neutral]Muy bien, aquí están tus [green]fichas de tarea[/green]. Te avisaré si nos encontramos con otro obstáculo en el futuro."
weaselwoes,.lang,tasks\lang\spanish\weaselwoes.lang,Astuta comadreja,Han llegado informes de una comadreja que anda suelta en los alrededores. Necesitamos que alguien hábil para cazar la busque y la traiga al pueblo.,"[thinking]El equipo de exploración ha informado de una [green]comadreja[/green] que habita en algún lugar alrededor del pueblo. Sin embargo, no pudieron hallar su guarida.///[neutral]¿Quizás tengas más suerte en tu búsqueda?","[happy]¡Vaya, es una [green]comadreja[/green] enorme! Buen trabajo, #player_name#. Se sabe que estas criaturas son astutas y difíciles de atrapar.///[neutral]Le diré al pueblo que encontraste a la [green]comadreja[/green]. ¡Tu habilidad para la caza es impresionante!"
wingsofautumn,.lang,tasks\lang\spanish\wingsofautumn.lang,Alas de otoño,"Los caballitos del diablo son geniales, ¿verdad? Quiero atraparlos para mi colección, pero no he tenido mucha suerte. ¿Alguien puede ayudarme?","[angry]Los [green]caballitos del diablo[/green] son insectos hermosos, ¿no crees? ¡Pero son tan rápidos que no puedo alcanzarlos!///[playful]Oye, ¿podrías cazar algunos para mí? ¡Sería genial! ¡Te lo agradecería mucho!","[happy]¡Mira, tienes [green]caballitos del diablo[/green] para mí! ¡Sabía que lo lograrías #player_name#!///[playful]Aprecio mucho tu ayuda. Yo nunca hubiera podido cazar tantos."
wingsofnight,.lang,tasks\lang\spanish\wingsofnight.lang,Alas nocturnas,"Oigan, ¿a dónde creen que van las luciérnagas durante el día? ¡No las encuentro por ningún lado! ¿Alguien quiere atrapar un par de luciérnagas blancas para mí? ¡Pagaré con fichas de tarea!",[happy]Esas [green]luciérnagas blancas[/green] solo aparecen cuando ya no tengo fuerzas para perseguirlas. ¿Quizás puedas atrapar algunas por mí?,"[happy]¡Mira qué brillantes son estas [green]luciérnagas blancas[/green]! Apuesto a que se verían geniales como luz de noche.///[playful]Gracias, #player_name#, te debo una."
wingsofspring,.lang,tasks\lang\spanish\wingsofspring.lang,Alas de primavera,¡No puedo dejar de mirar a las mariquitas rojas que vuelan por ahí! ¿No son hermosas? ¡Necesito algunas para mi colección antes de que desaparezcan!,"[playful]¡Podría pasar horas mirando a las [green]mariquitas rojas[/green] volar! ¿No son bonitos sus lunares?///[shocked]Me preocupa no atrapar ninguna antes de que hibernen por el resto del año. ¿Puedes ayudarme a atraparlas? ¡Gracias, #player_name#!","[shocked]¡Guau, estas son perfectas! Las añadiré a mi colección en cuanto llegue a casa. ¡Gracias, #player_name#! ¡Eres lo máximo!"
wingsofsummer,.lang,tasks\lang\spanish\wingsofsummer.lang,Alas de verano,"¡Me encanta el aspecto de las mariposas coloradas! Ya tengo varias, pero quisiera unas más para mi colección. ¿Quién se anima?","[playful]¡Hola! Iba de camino a atrapar una [green]mariposa colorada[/green] cuando nos cruzamos. Vas a ayudarme, ¿verdad?///[happy]¿Crees que puedas cazar tres para mí? Gracias, #player_name#.","[neutral]¡Son las tres [green]mariposas coloradas[/green] más hermosas que he visto! Tendré que encontrar un buen sitio donde ponerlas.///[playful]Gracias por tu ayuda, #player_name#."
wingsofwinter,.lang,tasks\lang\spanish\wingsofwinter.lang,Alas de invierno,¿No son geniales los escarabajos ermitaños? Quiero un par para mi colección antes de que se escondan todos.,"[playful]Me la paso buscando [green]escarabajos ermitaños[/green] por todos lados. ¿Dónde crees que vivan? ¡Siempre están en movimiento!///[shocked]Pero al final de día, me olvido de atraparlos. ¿Podrías ayudarme con eso, #player_name#?","[shocked]¡Son los [green]escarabajos ermitaños[/green], justo como te pedí! ¡Gracias #player_name#, tú sí que sabes cazar bichos!"
