file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
goldensealseedsitem,.lang,items\lang\spanish\goldensealseedsitem.lang,Goldenseal Seeds,Semillas de sello de oro,las,unas,estas,"Semillas negras diminutas, obtenidas de una planta de sello de oro. ¡Siémbralas en el jardín y mira cómo crecen!"
goldensealseedsrecipeitem,.lang,items\lang\spanish\goldensealseedsrecipeitem.lang,Goldenseal Seeds Recipe,Receta de semillas de sello de oro,la,una,esta,¡Cultiva sello de oro en tu jardín con estas semillas! El sello de oro es muy conocido por sus propiedades curativas.
goldfishbowlfurnitureitem,.lang,items\lang\spanish\goldfishbowlfurnitureitem.lang,Goldfish Bowl Furniture,Pecera,la,una,esta,Un alegre pececito dorado vive en este cuenco esférico. Se ve bastante apetitoso.
goldoreitem,.lang,items\lang\spanish\goldoreitem.lang,Gold Ore,Mena de oro,la,una,esta,Una fuente de valioso oro en forma de roca.
granitecrabitem,.lang,items\lang\spanish\granitecrabitem.lang,Granite Crab,Cangranito,el,un,este,Cangrejo que habita en cuevas y tiene la piel similar al granito. A estos animales les encanta anidar bajo las rocas.
graniteitem,.lang,items\lang\spanish\graniteitem.lang,Granite,Granito,el,un,este,Una roca de granito sin pulir.
greedypawaccessoryitem,.lang,items\lang\spanish\greedypawaccessoryitem.lang,Greedy Paw Accessory,Garra Codiciosa,la,una,esta,"Mientras tengas este amuleto equipado, los objetos cercanos serán atraídos magnéticamente a tu inventario de forma automática."
greenfireflyitem,.lang,items\lang\spanish\greenfireflyitem.lang,Green Firefly,Luciérnaga verde,la,una,esta,Un insecto de verano que emite una intensa luz verde.
greenscarfaccessoryitem,.lang,items\lang\spanish\greenscarfaccessoryitem.lang,Green Scarf Accessory,Bufanda verde,la,una,esta,¡Un accesorio calentito y a la moda al mismo tiempo!
greybeakyaccessoryitem,.lang,items\lang\spanish\greybeakyaccessoryitem.lang,Grey Beaky Accessory,Máscara de pico gris,la,una,esta,"Una máscara extraña hecha de un material desgastado, con una nariz delgada en forma de pico. Algunos creen que puede proteger de miasmas nocivos."
groovylampfurnitureitem,.lang,items\lang\spanish\groovylampfurnitureitem.lang,Groovy Lamp Furniture,Lámpara de lava,la,una,esta,El hipnótico líquido luminoso se mueve en esta lámpara gracias al calor del foco empotrado. ¡Buena onda!
haloaccessoryitem,.lang,items\lang\spanish\haloaccessoryitem.lang,Halo Accessory,Aureola,la,una,esta,Te dará una apariencia angelical.
hardcurioitem,.lang,items\lang\spanish\hardcurioitem.lang,Hard Curio,Curiosidad dura,la,una,esta,Un objeto de plástico en forma de disco con una extraña ranura espiralada en su interior.
hareitem,.lang,items\lang\spanish\hareitem.lang,Hare,Liebre,la,una,esta,"Parecida a un conejo pero de mayor tamaño, tiene orejas largas con puntas oscuras."
headlampaccessoryitem,.lang,items\lang\spanish\headlampaccessoryitem.lang,Headlamp Accessory,Linterna de cabeza,la,una,esta,"Una linterna potente, hecha por los topos para sus largas excavaciones en los lugares oscuros del mundo. Llévala puesta para iluminar a tu alrededor."
headlampupgradeiiiitem,.lang,items\lang\spanish\headlampupgradeiiiitem.lang,Headlamp Upgrade III,Mejora de linterna III,la,una,esta,"Potencia considerablemente tu linterna de cabeza, aumentando el área de iluminación. Requiere Mejora de linterna II."
headlampupgradeiiitem,.lang,items\lang\spanish\headlampupgradeiiitem.lang,Headlamp Upgrade II,Mejora de linterna II,la,una,esta,"Potencia moderadamente tu linterna de cabeza, aumentando el área de iluminación. Requiere Mejora de linterna I."
headlampupgradeiitem,.lang,items\lang\spanish\headlampupgradeiitem.lang,Headlamp Upgrade I,Mejora de linterna I,la,una,esta,"Potencia levemente tu linterna de cabeza, aumentando el área de iluminación. Requiere el accesorio Linterna de Cabeza."
headlampupgraderecipeitem,.lang,items\lang\spanish\headlampupgraderecipeitem.lang,Headlamp Upgrade Recipe,Mejora de linterna,la,una,esta,"Potencia tu linterna de cabeza, aumentando el área de iluminación."
heavycurioitem,.lang,items\lang\spanish\heavycurioitem.lang,Heavy Curio,Curiosidad pesada,la,una,esta,Un anillo de metal pesado del que cuelgan piezas de metal aún más pesadas.
herbalistworkbenchfurnitureitem,.lang,items\lang\spanish\herbalistworkbenchfurnitureitem.lang,Herbalist Workbench Furniture,Herbario,el,un,este,Estación de trabajo. Una mesa de piedra con todas las herramientas necesarias para transformar tus hierbas en pociones. Úsalo para crear brebajes poderosos.
hermitbeetleitem,.lang,items\lang\spanish\hermitbeetleitem.lang,Hermit Beetle,Escarabajo ermitaño,el,un,este,Un escarabajo de gran tamaño con un caparazón de color azul pálido.
honeycombitem,.lang,items\lang\spanish\honeycombitem.lang,Honeycomb,Panal,el,un,este,Un dulce manjar obtenido de una colmena de abejas enojadas. La miel en su interior proporciona inmunidad a todos los efectos de estado negativos por un tiempo corto.
hornsaccessoryitem,.lang,items\lang\spanish\hornsaccessoryitem.lang,Horns Accessory,Cuernos,los,unos,estos,¡Cuidado con las puntas!
inkycurioitem,.lang,items\lang\spanish\inkycurioitem.lang,Inky Curio,Curiosidad de tinta,la,una,esta,Una barra de plástico negro que hace un satisfactorio ''clic'' al apretarla.
inventoryupgradeiiiitem,.lang,items\lang\spanish\inventoryupgradeiiiitem.lang,Inventory Upgrade III,Bolsillos voluminosos,los,unos,estos,Ahora los objetos se apilarán hasta un máximo de 9 en cada uno de los espacios de tu inventario.
inventoryupgradeiiitem,.lang,items\lang\spanish\inventoryupgradeiiitem.lang,Inventory Upgrade II,Bolsillos espaciosos,los,unos,estos,Ahora los objetos se apilarán hasta un máximo de 5 en cada uno de los espacios de tu inventario.
inventoryupgradeiitem,.lang,items\lang\spanish\inventoryupgradeiitem.lang,Inventory Upgrade I,Bolsillos modestos,los,unos,estos,Ahora los objetos se apilarán hasta un máximo de 5 en cada uno de los espacios de tu inventario.
ironoreitem,.lang,items\lang\spanish\ironoreitem.lang,Iron Ore,Mena de hierro,la,una,esta,Una roca con una veta visible de hierro.
jarofleechesfurnitureitem,.lang,items\lang\spanish\jarofleechesfurnitureitem.lang,Jar Of Leeches Furniture,Frasco de sanguijuelas,el,un,este,Un frasco de vidrio lleno de sanguijuelas que se retuercen. ¿Quién guardaría algo así en su casa?
jinglycurioitem,.lang,items\lang\spanish\jinglycurioitem.lang,Jingly Curio,Curiosidad tintineante,la,una,esta,"Un puñado de monedas de metal, sin valor para los gatos, excepto como curiosidad."
knittedsweateraccessoryitem,.lang,items\lang\spanish\knittedsweateraccessoryitem.lang,Knitted Sweater Accessory,Suéter tejido,el,un,este,Un cómodo suéter rojo.
lavenderfairitem,.lang,items\lang\spanish\lavenderfairitem.lang,Lavender [Fair],Lavanda,la,una,esta,Un ramillete de flores moradas y fragantes. Úsalo para obtener una pequeña cantidad de influencia en una región.
lavendergooditem,.lang,items\lang\spanish\lavendergooditem.lang,Lavender [Good],Lavanda,la,una,esta,Un aromático ramillete de flores moradas. Úsalo para obtener una pequeña cantidad de influencia en una región.
lavenderpooritem,.lang,items\lang\spanish\lavenderpooritem.lang,Lavender [Poor],Lavanda,la,una,esta,Un agradable ramillete de flores moradas. Úsalo para obtener una pequeña cantidad de influencia en una región.
lavenderseedsitem,.lang,items\lang\spanish\lavenderseedsitem.lang,Lavender Seeds,Semillas de lavanda,las,unas,estas,"Semillas moradas, obtenidas de una planta de lavanda. ¡Siémbralas en el jardín y mira cómo crecen!"
lavenderseedsrecipeitem,.lang,items\lang\spanish\lavenderseedsrecipeitem.lang,Lavender Seeds Recipe,Receta de semillas de lavanda,la,una,esta,¡Cultiva lavanda en tu jardín con estas semillas! La lavanda puede utilizarse para ganar poder en una región en poco tiempo.
licoricefairitem,.lang,items\lang\spanish\licoricefairitem.lang,Licorice [Fair],Regaliz,el,un,este,Puedes masticar las raíces de esta planta para un bocado rápido.
licoricegooditem,.lang,items\lang\spanish\licoricegooditem.lang,Licorice [Good],Regaliz,el,un,este,Puedes masticar las raíces de esta planta para saciar el hambre.
licoricepooritem,.lang,items\lang\spanish\licoricepooritem.lang,Licorice [Poor],Regaliz,el,un,este,Puedes masticar las raíces de esta planta para llenarte un poco.
licoriceseedsitem,.lang,items\lang\spanish\licoriceseedsitem.lang,Licorice Seeds,Semillas de regaliz,las,unas,estas,"Semillas de color ocre, obtenidas de una planta de regaliz. ¡Siémbralas en el jardín y mira cómo crecen!"
licoriceseedsrecipeitem,.lang,items\lang\spanish\licoriceseedsrecipeitem.lang,Licorice Seeds Recipe,Receta de semillas de regaliz,la,una,esta,¡Cultiva regaliz en tu jardín con estas semillas! Las raíces de regaliz se pueden comer como refrigerio.
litterboxfurnitureitem,.lang,items\lang\spanish\litterboxfurnitureitem.lang,Litter Box Furniture,Caja de arena,la,una,esta,"No es el objeto de decoración más glamoroso, pero es práctico."
lizarditem,.lang,items\lang\spanish\lizarditem.lang,Lizard,Lagartija,la,una,esta,Una criatura menuda y escurridiza. No parece muy apetitosa.
longcurioitem,.lang,items\lang\spanish\longcurioitem.lang,Long Curio,Curiosidad larga,la,una,esta,Un palito ligero con un trocito de algodón pegado en cada punta.
lunarbutterflyitem,.lang,items\lang\spanish\lunarbutterflyitem.lang,Lunar Butterfly,Mariposa luna,la,una,esta,Este insecto legendario tiene la piel translúcida y emite una luz débil.
lurkeritem,.lang,items\lang\spanish\lurkeritem.lang,Lurker,Merodeador,el,un,este,Un espíritu sigiloso que tiene la costumbre de volverse invisible cuando menos te lo esperas. ¡Cuídate las espaldas!
mackerelitem,.lang,items\lang\spanish\mackerelitem.lang,Mackerel,Caballa,la,una,esta,Un pez de agua salada con escamas plateadas. Su cuerpo delgado reluce bajo la luz del sol.
magichataccessoryitem,.lang,items\lang\spanish\magichataccessoryitem.lang,Magic Hat Accessory,Sombrero mágico,el,un,este,Se dice que este sombrero perteneció alguna vez a un poderoso hechicero.
magnetupgradeiiiitem,.lang,items\lang\spanish\magnetupgradeiiiitem.lang,Magnet Upgrade III,Mejora de Garra III,la,una,esta,"Fortalece considerablemente tu amuleto, aumentando el alcance de su habilidad magnética para agarrar objetos. Requiere el accesorio Garra Codiciosa."
magnetupgradeiiitem,.lang,items\lang\spanish\magnetupgradeiiitem.lang,Magnet Upgrade II,Mejora de Garra II,la,una,esta,"Fortalece medianamente tu amuleto, aumentando el alcance de su habilidad magnética para agarrar objetos. Requiere el accesorio Garra Codiciosa."
magnetupgradeiitem,.lang,items\lang\spanish\magnetupgradeiitem.lang,Magnet Upgrade I,Mejora de Garra I,la,una,esta,"Fortalece levemente tu amuleto, aumentando el alcance de su habilidad magnética para agarrar objetos. Requiere el accesorio Garra Codiciosa."
magnetupgraderecipeitem,.lang,items\lang\spanish\magnetupgraderecipeitem.lang,Magnet Upgrade Recipe,Mejora de Garra Codiciosa,la,una,esta,"Fortalece tu amuleto, aumentando el alcance de su habilidad magnética para agarrar objetos."
magpieitem,.lang,items\lang\spanish\magpieitem.lang,Magpie,Urraca,la,una,esta,Un pajarito inteligente de color blanco y negro.
malachiteitem,.lang,items\lang\spanish\malachiteitem.lang,Malachite,Malaquita,la,una,esta,Una piedra preciosa de color verde cardenillo con un hermoso diseño veteado.
marbletilefurnitureitem,.lang,items\lang\spanish\marbletilefurnitureitem.lang,Marble Tile Furniture,Baldosa de mármol,la,una,esta,Mármol cortado y colocado en espinapez para darle un aspecto elegante.
marigoldfairitem,.lang,items\lang\spanish\marigoldfairitem.lang,Marigold [Fair],Caléndula,la,una,esta,Una llamativa flor naranja con un tallo verde. Cura el veneno y restaura una pequeña cantidad de salud.
marigoldgooditem,.lang,items\lang\spanish\marigoldgooditem.lang,Marigold [Good],Caléndula,la,una,esta,Una llamativa flor naranja con un tallo fuerte. Cura el veneno al instante.
marigoldpooritem,.lang,items\lang\spanish\marigoldpooritem.lang,Marigold [Poor],Caléndula,la,una,esta,Una llamativa flor naranja con un tallo marchito. Cura el veneno al instante.
marigoldseedsitem,.lang,items\lang\spanish\marigoldseedsitem.lang,Marigold Seeds,Semillas de caléndula,las,unas,estas,"Semillas largas y finas, obtenidas de una planta de caléndula. ¡Siémbralas en el jardín y mira cómo crecen!"
marigoldseedsrecipeitem,.lang,items\lang\spanish\marigoldseedsrecipeitem.lang,Marigold Seeds Recipe,Receta de semillas de caléndula,la,una,esta,¡Cultiva caléndula en tu jardín con estas semillas! Esta flor es conocida por sus propiedades curativas.
markedcurioitem,.lang,items\lang\spanish\markedcurioitem.lang,Marked Curio,Curiosidad marcada,la,una,esta,Un pedazo de algún documento desconocido.
masonrykititem,.lang,items\lang\spanish\masonrykititem.lang,Masonry Kit,Kit de reparación,el,un,este,Un conjunto de herramientas y materiales para labrar la piedra. Utilízalo para reparar escaleras rotas en las minas.
masonrykitrecipeitem,.lang,items\lang\spanish\masonrykitrecipeitem.lang,Masonry Kit Recipe,Receta de kit de reparación,la,una,esta,Crea un práctico kit de reparación. ¡Te vendrá bien si te encuentras con una escalera en mal estado mientras excavas!
metalcurioitem,.lang,items\lang\spanish\metalcurioitem.lang,Metal Curio,Curiosidad metálica,la,una,esta,Un trozo de alambre de aluminio doblado.
minnowitem,.lang,items\lang\spanish\minnowitem.lang,Minnow,Piscardo,el,un,este,Un pececillo gregario que habita en ríos y estanques.
molefurnacefurnitureitem,.lang,items\lang\spanish\molefurnacefurnitureitem.lang,Mole Furnace Furniture,Horno topo,el,un,este,"Un horno de piedra con un escudo en forma de topo, perfecto para fundir metal."
morelitem,.lang,items\lang\spanish\morelitem.lang,Morel,Colmenilla,la,una,esta,Un hongo rugoso con grandes propiedades curativas.
mouseitem,.lang,items\lang\spanish\mouseitem.lang,Mouse,Ratón,el,un,este,Un sabroso ratón. ¡No te comas los bigotes!
mugfurnitureitem,.lang,items\lang\spanish\mugfurnitureitem.lang,Mug Furniture,Taza,la,una,esta,Una taza de cerámica hecha para manos humanas. ¿No sería divertido empujarla desde una mesa?
murkitem,.lang,items\lang\spanish\murkitem.lang,Murk,Mole,la,una,esta,Una criatura malvada que adopta la forma de un topo gigante y tenebroso. Se encuentra en las minas. No le gustan los intrusos.
mushroombundleitem,.lang,items\lang\spanish\mushroombundleitem.lang,Mushroom Bundle,Conjunto de hongos,el,un,este,Una bonita decoración de hongos.
mushroomsaladitem,.lang,items\lang\spanish\mushroomsaladitem.lang,Mushroom Salad,Ensalada de hongos,la,una,esta,Varios tipos de hongos mezclados con verduras de hoja. ¡Un plato muy nutritivo!
mushroomsaladrecipeitem,.lang,items\lang\spanish\mushroomsaladrecipeitem.lang,Mushroom Salad Recipe,Receta de ensalada de hongos,la,una,esta,Varios tipos de hongos mezclados con verduras de hoja. ¡Un plato muy nutritivo!
mysteryseedsitem,.lang,items\lang\spanish\mysteryseedsitem.lang,Mystery Seeds,Semillas misteriosas,las,unas,estas,Una variedad de semillas que no se pueden identificar. ¡Siémbralas en el jardín y descubre qué crece!
mysteryseedsrecipeitem,.lang,items\lang\spanish\mysteryseedsrecipeitem.lang,Mystery Seeds Recipe,Receta de semillas misteriosas,la,una,esta,¿Quién sabe qué plantas brotarán de estas semillas variadas?
naturalstonetilefurnitureitem,.lang,items\lang\spanish\naturalstonetilefurnitureitem.lang,Natural Stone Tile Furniture,Baldosa de piedra natural,la,una,esta,"Grandes piedras naturales, extraídas de un río y colocadas con habilidad siguiendo un diseño orgánico."
northernemeralditem,.lang,items\lang\spanish\northernemeralditem.lang,Northern Emerald,Libélula esmeralda,la,una,esta,¡Un insecto que refleja la luz en asombrosos colores iridiscentes!
paintedbutterflyitem,.lang,items\lang\spanish\paintedbutterflyitem.lang,Painted Butterfly,Mariposa colorada,la,una,esta,Un insecto alado de color rojo intenso.
peppermintfairitem,.lang,items\lang\spanish\peppermintfairitem.lang,Peppermint [Fair],Menta,la,una,esta,"Esta hoja de aroma penetrante puede enmascarar el olor de un gato, por lo que le será más fácil acechar presas por un tiempo."
peppermintgooditem,.lang,items\lang\spanish\peppermintgooditem.lang,Peppermint [Good],Menta,la,una,esta,"Esta hoja de aroma dulce puede enmascarar el olor de un gato, por lo que le será más fácil acechar presas por un tiempo."
peppermintpooritem,.lang,items\lang\spanish\peppermintpooritem.lang,Peppermint [Poor],Menta,la,una,esta,"Esta hoja de aroma extraño puede enmascarar el olor de un gato, por lo que le será más fácil acechar presas por un tiempo."
peppermintseedsitem,.lang,items\lang\spanish\peppermintseedsitem.lang,Peppermint Seeds,Semillas de menta,las,unas,estas,"Semillas pequeñas y negras, obtenidas de una planta de menta. ¡Siémbralas en el jardín y mira cómo crecen!"
peppermintseedsrecipeitem,.lang,items\lang\spanish\peppermintseedsrecipeitem.lang,Peppermint Seeds Recipe,Receta de semillas de menta,la,una,esta,¡Cultiva menta en tu jardín con estas semillas! El fuerte aroma de la menta puede enmascarar el olor natural de un gato.
petbataccessoryitem,.lang,items\lang\spanish\petbataccessoryitem.lang,Pet Bat Accessory,Murciélago mascota,el,un,este,¡Un murciélago inquietante que te seguirá a todas partes!
petbeeaccessoryitem,.lang,items\lang\spanish\petbeeaccessoryitem.lang,Pet Bee Accessory,Abeja mascota,la,una,esta,¡Una abeja de buen corazón que te seguirá a todas partes!
petbeetleaccessoryitem,.lang,items\lang\spanish\petbeetleaccessoryitem.lang,Pet Beetle Accessory,Escarabajo mascota,el,un,este,¡Un alegre escarabajo azul que te seguirá a todas partes!
petbutterflyaccessoryitem,.lang,items\lang\spanish\petbutterflyaccessoryitem.lang,Pet Butterfly Accessory,Mariposa mascota,la,una,esta,¡Una mariposa colorida que te seguirá a todas partes!
petcrabaccessoryitem,.lang,items\lang\spanish\petcrabaccessoryitem.lang,Pet Crab Accessory,Cangrejo mascota,el,un,este,¡Un cangrejito que te seguirá a todas partes!
petdragonflyaccessoryitem,.lang,items\lang\spanish\petdragonflyaccessoryitem.lang,Pet Dragonfly Accessory,Libélula mascota,la,una,esta,¡Una grácil libélula azul que te seguirá a todas partes!
petfireflyaccessoryitem,.lang,items\lang\spanish\petfireflyaccessoryitem.lang,Pet Firefly Accessory,Luciérnaga mascota,la,una,esta,¡Una luciérnaga amarilla y fosforescente que te seguirá a todas partes!
petghostaccessoryitem,.lang,items\lang\spanish\petghostaccessoryitem.lang,Pet Ghost Accessory,Fantasma mascota,el,un,este,¡Un espíritu aterrador que te perseguirá por todas partes!
petladybugaccessoryitem,.lang,items\lang\spanish\petladybugaccessoryitem.lang,Pet Ladybug Accessory,Mariquita mascota,la,una,esta,¡Una tierna mariquita roja que te seguirá a todas partes!
petmolbertaccessory,.lang,items\lang\spanish\petmolbertaccessory.lang,Pet Molbert Accessory,Molbert mascota,el,un,este,Un topo cascarrabias con un excelente olfato. ¿Eso que huele es un diamante?
petmothaccessoryitem,.lang,items\lang\spanish\petmothaccessoryitem.lang,Pet Moth Accessory,Polilla mascota,la,una,esta,¡Una polilla marrón revoloteante que te seguirá a todas partes!
petrainbowfireflyaccessoryitem,.lang,items\lang\spanish\petrainbowfireflyaccessoryitem.lang,Pet Rainbow Firefly Accessory,Luciérnaga arcoíris mascota,la,una,esta,Una fascinante luciérnaga mítica que resplandece con todos los colores del arcoíris. La leyenda cuenta que una luciérnaga arcoíris encendió las primeras estrellas en tiempos ancestrales.
petrataccessoryitem,.lang,items\lang\spanish\petrataccessoryitem.lang,Pet Rat Accessory,Rata mascota,la,una,esta,¡Un enorme roedor que te seguirá a todas partes!
petrockdebrisaccessoryitem,.lang,items\lang\spanish\petrockdebrisaccessoryitem.lang,Pet Rock Debris Accessory,Roca mascota,la,una,esta,"Una roca común. No pretendas que haga algo. Espera, ¿acaba de moverse?"
petspideraccessoryitem,.lang,items\lang\spanish\petspideraccessoryitem.lang,Pet Spider Accessory,Araña mascota,la,una,esta,¡Una aterradora araña morada que te seguirá a todas partes!
petturtleaccessoryitem,.lang,items\lang\spanish\petturtleaccessoryitem.lang,Pet Turtle Accessory,Tortuga mascota,la,una,esta,¡Una tortuguita amigable que te seguirá a todas partes!
petwolfspideraccessoryitem,.lang,items\lang\spanish\petwolfspideraccessoryitem.lang,Pet Wolf Spider Accessory,Araña lobo mascota,la,una,esta,¡Una espantosa araña naranja que te seguirá a todas partes!
pickaxefurnitureitem,.lang,items\lang\spanish\pickaxefurnitureitem.lang,Pickaxe Furniture,Pico,el,un,este,Una herramienta pesada de minería que puedes exhibir con orgullo en tu pared. ¡Se ve flamante!
pigeonitem,.lang,items\lang\spanish\pigeonitem.lang,Pigeon,Paloma,la,una,esta,Un pájaro de tamaño mediano con plumas azuladas.
pikeitem,.lang,items\lang\spanish\pikeitem.lang,Pike,Lucio,el,un,este,Un enorme pez de color amarillo claro. Se encuentra en hábitats de agua dulce.
pitlodeitem,.lang,items\lang\spanish\pitlodeitem.lang,Pitlode,Pedrascura,la,una,esta,Una pequeña piedra preciosa con llamativos dibujos oscuros.
plantfooditem,.lang,items\lang\spanish\plantfooditem.lang,Plant Food,Fertilizante,el,un,este,La nutrición ideal para una planta en crecimiento. ¡Aplícalo diariamente en tu jardín y obtendrás hierbas de alta calidad! De un solo uso.
plantfoodrecipeitem,.lang,items\lang\spanish\plantfoodrecipeitem.lang,Plant Food Recipe,Receta de fertilizante,la,una,esta,¡Mantén tus plantas bien nutridas con este fertilizante!
plasticcurioitem,.lang,items\lang\spanish\plasticcurioitem.lang,Plastic Curio,Curiosidad de plástico,la,una,esta,Un anillo de plástico de color brillante con puntas pequeñas en el interior.
platinumoreitem,.lang,items\lang\spanish\platinumoreitem.lang,Platinum Ore,Mena de platino,la,una,esta,"Platino en estado natural, un mineral valioso que se encuentra solo en ciertas cuevas."
plushrugfurnitureitem,.lang,items\lang\spanish\plushrugfurnitureitem.lang,Plush Rug Furniture,Alfombra de peluche,la,una,esta,Una pequeña alfombra compuesta de gruesas fibras rosadas que se sienten muy suaves al tacto.
pointycurioitem,.lang,items\lang\spanish\pointycurioitem.lang,Pointy Curio,Curiosidad puntiaguda,la,una,esta,Una delgada vara amarilla con punta afilada.
polishedstoneitem,.lang,items\lang\spanish\polishedstoneitem.lang,Polished Stone,Piedra Pulida,la,una,esta,"Una piedra perfectamente esférica, que fue redondeada y lijada hasta hacer que su superficie lisa brillara. Puedes donar este objeto a tu reserva de piedras."
polishedstonerecipeitem,.lang,items\lang\spanish\polishedstonerecipeitem.lang,Polished Stone Recipe,Receta de piedra pulida,la,una,esta,"Una piedra perfectamente esférica, que fue redondeada y lijada hasta hacer que su superficie lisa brillara. Puedes donar este objeto a tu reserva de piedras."
portobelloitem,.lang,items\lang\spanish\portobelloitem.lang,Portobello,Portobello,el,un,este,Un saludable hongo marrón para comer como refrigerio.
pouffurnitureitem,.lang,items\lang\spanish\pouffurnitureitem.lang,Pouf Furniture,Asiento puff,el,un,este,Un taburete ovalado y suave hecho de un tejido grueso.
powerpawblueitem,.lang,items\lang\spanish\powerpawblueitem.lang,Power Paw Blue,Pata de poder (azul),la,una,esta,"Una medalla antigua hecha de un reluciente metal azul. Según la leyenda, puede hacerte más resistente al hambre."
powerpawgreenitem,.lang,items\lang\spanish\powerpawgreenitem.lang,Power Paw Green,Pata de poder (verde),la,una,esta,"Una medalla antigua hecha de un reluciente metal verde. Según la leyenda, puede aumentar tu suerte."
powerpawpurpleitem,.lang,items\lang\spanish\powerpawpurpleitem.lang,Power Paw Purple,Pata de poder (morada),la,una,esta,"Una medalla antigua hecha de un reluciente metal morado. Según la leyenda, puede aumentar tu sociabilidad."
powerpawrainbowitem,.lang,items\lang\spanish\powerpawrainbowitem.lang,Power Paw Rainbow,Pata de poder (arcoíris),la,una,esta,"Una medalla antigua hecha de un reluciente metal arcoíris. Según la leyenda, puede mejorar tu habilidad de combate."
powerpawreditem,.lang,items\lang\spanish\powerpawreditem.lang,Power Paw Red,Pata de poder (roja),la,una,esta,"Una medalla antigua hecha de un reluciente metal rojo. Según la leyenda, puede aumentar tu vitalidad."
powerpawyellowitem,.lang,items\lang\spanish\powerpawyellowitem.lang,Power Paw Yellow,Pata de poder (amarilla),la,una,esta,"Una medalla antigua hecha de un reluciente metal amarillo. Según la leyenda, puede hacer que te muevas más rápido."
prowleritem,.lang,items\lang\spanish\prowleritem.lang,Prowler,Sabandija,la,una,esta,Un bicho asqueroso con una mordedura poderosa. A menudo se encuentra en enjambres.
quartzitem,.lang,items\lang\spanish\quartzitem.lang,Quartz,Cuarzo,el,un,este,Una formación de cristales translúcidos de color rosa claro.
queenofthenightitem,.lang,items\lang\spanish\queenofthenightitem.lang,Queen of the Night,Reina de la noche,la,una,esta,Una flor misteriosa que solo florece por la noche.
queenofthenightseedsitem,.lang,items\lang\spanish\queenofthenightseedsitem.lang,Queen of the Night Seeds,Semillas de reina,las,unas,estas,Un gran bulbo obtenido de una planta de reina de la noche. ¡Siémbralo en el jardín y mira cómo crece!
queenofthenightseedsrecipeitem,.lang,items\lang\spanish\queenofthenightseedsrecipeitem.lang,Queen of the Night Seeds Recipe,Receta de semillas de reina,la,una,esta,¡Cultiva reina de la noche en tu jardín con estas semillas! Estas hermosas flores son delicadas y hermosas de contemplar.
rabbititem,.lang,items\lang\spanish\rabbititem.lang,Rabbit,Conejo,el,un,este,Un conejo regordete que ahora es una comida sustanciosa.
raspberriesfairitem,.lang,items\lang\spanish\raspberriesfairitem.lang,Raspberries [Fair],Frambuesas,las,unas,estas,Llamativas bayas rojas que dejan un sabor dulce en tu boca.
raspberriesgooditem,.lang,items\lang\spanish\raspberriesgooditem.lang,Raspberries [Good],Frambuesas,las,unas,estas,Atractivas bayas rojas que dejan un sabor dulce en tu boca.
raspberriespooritem,.lang,items\lang\spanish\raspberriespooritem.lang,Raspberries [Poor],Frambuesas,las,unas,estas,Bonitas bayas rojas que dejan un sabor dulce en tu boca.
raspberriesseedsitem,.lang,items\lang\spanish\raspberriesseedsitem.lang,Raspberries Seeds,Semillas de frambuesa,las,unas,estas,"Semillas diminutas de color marrón rojizo, obtenidas de una frambuesa. ¡Siémbralas en el jardín y mira cómo crecen!"
raspberriesseedsrecipeitem,.lang,items\lang\spanish\raspberriesseedsrecipeitem.lang,Raspberries Seeds Recipe,Receta de semillas de frambuesa,la,una,esta,¡Cultiva frambuesas en tu jardín con estas semillas! Las frambuesas son un tentempié sabroso.
ratitem,.lang,items\lang\spanish\ratitem.lang,Rat,Rata,la,una,esta,Un roedor tenaz que no se rendirá sin antes luchar.
redladybugitem,.lang,items\lang\spanish\redladybugitem.lang,Red Ladybug,Mariquita roja,la,una,esta,Un lindo bichito con lunares negros.
redroseitem,.lang,items\lang\spanish\redroseitem.lang,Red Rose,Rosa roja,la,una,esta,Una hermosa flor roja que simboliza el amor verdadero. ¡Dásela a tu interés romántico para demostrarle tus sentimientos!
redroseseedsitem,.lang,items\lang\spanish\redroseseedsitem.lang,Red Rose Seeds,Semillas de rosa roja,las,unas,estas,"Semillas de color claro, obtenidas de una rosa roja. ¡Siémbralas en el jardín y mira cómo crecen!"
redroseseedsrecipeitem,.lang,items\lang\spanish\redroseseedsrecipeitem.lang,Red Rose Seeds Recipe,Receta de semillas de rosa roja,la,una,esta,¡Cultiva rosas rojas en tu jardín con estas semillas! Simbolizan el amor verdadero. Todos los gatos saben lo que significa recibir una.
redscarfaccessoryitem,.lang,items\lang\spanish\redscarfaccessoryitem.lang,Red Scarf Accessory,Bufanda roja,la,una,esta,¡Un accesorio calentito y a la moda al mismo tiempo!
robinitem,.lang,items\lang\spanish\robinitem.lang,Robin,Petirrojo,el,un,este,Es difícil no notar su vientre rojo brillante.
rockdebrisitem,.lang,items\lang\spanish\rockdebrisitem.lang,Rock Debris,Escombros de roca,los,unos,estos,Un puñado de piedritas casi sin valor.
rosymothitem,.lang,items\lang\spanish\rosymothitem.lang,Rosy Moth,Polilla rosada,la,una,esta,Un lindo premio de color pastel con un abdomen aterciopelado.
