file,extension,path,lang_furniture_name,lang_furniture_description
wackywhiskersboard,.lang,furniture\lang\german\wackywhiskersboard.lang,Schrullige-Schnurrhaare-Brettspiel,Spiele das Hit-Brettspiel „Schrullige Schnurrhaare“ jederzeit mit diesem praktischen tragbaren Spielset!
wallcalendar,.lang,furniture\lang\german\wallcalendar.lang,Wandkalender,"Jede organisierte Katze sollte einen davon haben, um wichtige bevorstehende Termine zu markieren."
wallclock,.lang,furniture\lang\german\wallclock.lang,Wanduhr,"Eine Uhr zum Anhängen an deine Wand, welche die aktuelle Zeit anzeigt."
wallcrystals,.lang,furniture\lang\german\wallcrystals.lang,Wandkristalle,"Rosa-weiße Quarzkristalle, die sich an senkrechten Oberflächen wie den Wänden deiner Höhle festhalten können."
wallemblem,.lang,furniture\lang\german\wallemblem.lang,Wandemblem,Zeige dein aktuelles Emblem stolz an der Wand!
wallflower,.lang,furniture\lang\german\wallflower.lang,Mauerblümchen,"Eine kleine orangefarbene Blume, die an der Wand haftet."
wallthorns,.lang,furniture\lang\german\wallthorns.lang,Dornenwand,"Unangenehme Kletterpflanzen, die mit dicken Stacheln bedeckt sind."
wateringcan,.lang,furniture\lang\german\wateringcan.lang,Gießkanne,"Eine blaue Gießkanne, perfekt für die Gartenarbeit."
welcomemat,.lang,furniture\lang\german\welcomemat.lang,Willkommensmatte,Ein Kokos-Türvorleger mit einem einladenden Muster.
whiterunner,.lang,furniture\lang\german\whiterunner.lang,Weißer Läufer,Ein langer weißer rechteckiger Teppich für deinen Boden.
wildflowers,.lang,furniture\lang\german\wildflowers.lang,Wildblumen,"Ein Beet lebendiger Blumen, die direkt aus dem Boden wachsen! Drehe dieses Möbelstück, um die Art der Wildblumen zu ändern."
wildwoodmonument,.lang,furniture\lang\german\wildwoodmonument.lang,Wildwaldmonument,"Eine Gedenktrophäe, die die Wiederherstellung des Wildwaldes feiert."
windowlarge,.lang,furniture\lang\german\windowlarge.lang,Fenster (groß),"Ein großes Fenster, das ein wenig Licht hereinlassen kann."
windowsmall,.lang,furniture\lang\german\windowsmall.lang,Fenster (klein),"Ein sehr kleines Fenster, das ein wenig Licht hereinlassen kann."
winterlights,.lang,furniture\lang\german\winterlights.lang,Winterlichter,Eine Reihe funkelnder Lichter vom Winterfest. So viele Farben!
woodbookshelf,.lang,furniture\lang\german\woodbookshelf.lang,Bücherregal aus Holz,Ein hohes Bücherregal aus poliertem Holz.
woodbowl,.lang,furniture\lang\german\woodbowl.lang,Holzschüssel,Eine Schüssel aus Holz gefertigt.
woodchair,.lang,furniture\lang\german\woodchair.lang,Holzstuhl,"Ein handgefertigter Stuhl, der in einer gemütlichen Hütte nicht fehl am Platz wäre."
woodendtable,.lang,furniture\lang\german\woodendtable.lang,Beistelltisch aus Holz,Ein kleiner Tisch aus poliertem Holz mit einer Schublade zum Herausziehen.
woodplate,.lang,furniture\lang\german\woodplate.lang,Holzteller,Ein Teller aus Holz gefertigt.
woodtable,.lang,furniture\lang\german\woodtable.lang,Holztisch,"Ein handgefertigter Tisch, der in einer gemütlichen Hütte nicht fehl am Platz wäre."
woodwardrobe,.lang,furniture\lang\german\woodwardrobe.lang,Holzschrank,"Ein hölzerner Schrank, um deine Sachen aufzubewahren."
workoutmat,.lang,furniture\lang\german\workoutmat.lang,Trainingsmatte,Ineinander greifende Schaumstoffplatten. Die perfekte Oberfläche zum Trainieren.
wovenrug,.lang,furniture\lang\german\wovenrug.lang,Gewebter Teppich,"Irgendeine Katze hat viel Zeit damit verbracht, das dicke Material sorgfältig zu weben, um diesen kleinen Teppich herzustellen!"
yarnball,.lang,furniture\lang\german\yarnball.lang,Wollknäuel,Ein unwiderstehliches Wollknäuel.
