file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
gardenupgradeiiitem,.lang,items\lang\german\gardenupgradeiiitem.lang,Garden Upgrade II,Garten-Upgrade II,das,ein,dieses,Fügt deinem Garten 3 zusätzliche Anbauflächen hinzu. Baue mit dieser Gartenerweiterung mehr Pflanzen gleichzeitig an!
gardenupgradeiitem,.lang,items\lang\german\gardenupgradeiitem.lang,Garden Upgrade I,Garten-Upgrade I,das,ein,dieses,Fügt deinem Garten 3 zusätzliche Anbauflächen hinzu. Baue mit dieser Gartenerweiterung mehr Pflanzen gleichzeitig an!
ghostbeetleitem,.lang,items\lang\german\ghostbeetleitem.lang,Ghost Beetle,Geisterkäfer,der,ein,dieser,"Es ist schwierig, diese scheuen Tiere im Schnee zu entdecken!"
ghostitem,.lang,items\lang\german\ghostitem.lang,Ghost,Geist,der,ein,dieser,"Ein verlorener Geist, der in dieser Welt bleibt und die Lebenden heimsucht."
giftboxitem,.lang,items\lang\german\giftboxitem.lang,Gift Box,Geschenkschachtel,die,eine,diese,"Fast jede Katze würde sich über ein Geschenk freuen, das so wunderschön verpackt ist."
gloomsharditem,.lang,items\lang\german\gloomsharditem.lang,Gloomshard,Düsternis-Splitter,der,ein,dieser,"Ein winziges Fragment eines Edelsteins, das nur in den dunkelsten Höhlen gefunden wird."
gloweritem,.lang,items\lang\german\gloweritem.lang,Glower,Grummler,der,ein,dieser,Eine lebende Kreatur mit basaltartiger Haut. Die unheimlichen Augen durchdringen die Dunkelheit der Minen. Berüchtigt für schlechte Laune.
glowingmushroomsfurnitureitem,.lang,items\lang\german\glowingmushroomsfurnitureitem.lang,Glowing Mushrooms Furniture,Leuchtende Pilze,die,ein,diese,"Diese Ansammlung seltsamer Pilze, die tief unter der Erde geerntet wurde, wirft ein blasses grünes Licht auf ihre Umgebung."
glowpotionitem,.lang,items\lang\german\glowpotionitem.lang,Glow Potion,Leuchttrank,der,ein,dieser,Dieser gruselige Gegenstand lässt dein Fell für eine Minute in einer hell leuchtenden Farbe erstrahlen. Zur einmaligen Anwendung.
goldcavecricketitem,.lang,items\lang\german\goldcavecricketitem.lang,Gold Cave Cricket,Goldene Höhlenschrecke,die,eine,diese,"Ihr gekrümmter Torso leuchtet in einem unnatürlichen Licht, selbst in den düstersten Höhlen. Sie mögen warme, dunkle Orte."
goldcrownaccessoryitem,.lang,items\lang\german\goldcrownaccessoryitem.lang,Gold Crown Accessory,Goldene Krone,die,eine,diese,"Sieh königlich aus, während du unterwegs bist!"
goldensealfairitem,.lang,items\lang\german\goldensealfairitem.lang,Goldenseal [Fair],Gelbwurzel,die,eine,diese,Eine grünblättrige Pflanze mit einer kleinen roten Beere. Kann zur sofortigen Linderung auf eine Wunde aufgetragen werden.
goldensealgooditem,.lang,items\lang\german\goldensealgooditem.lang,Goldenseal [Good],Gelbwurzel,die,eine,diese,Eine grünblättrige Pflanze mit einer kleinen roten Beere. Kann zur sofortigen Linderung auf eine Wunde aufgetragen werden.
goldensealpooritem,.lang,items\lang\german\goldensealpooritem.lang,Goldenseal [Poor],Gelbwurzel,die,eine,diese,Eine grünblättrige Pflanze mit einer kleinen roten Beere. Kann zur sofortigen Linderung auf eine Wunde aufgetragen werden.
goldensealseedsitem,.lang,items\lang\german\goldensealseedsitem.lang,Goldenseal Seeds,Gelbwurzelsamen,die,ein,diese,"Winzige schwarze Samen, die von einer Gelbwurzelpflanze stammen. Säe sie in den Garten und beobachte, wie sie wachsen!"
goldensealseedsrecipeitem,.lang,items\lang\german\goldensealseedsrecipeitem.lang,Goldenseal Seeds Recipe,Rezept für Gelbwurzelsamen,das,ein,dieses,Pflanze Gelbwurzel in deinem Garten mit diesen Samen an! Gelbwurzel ist bekannt für seine heilenden Eigenschaften.
goldfishbowlfurnitureitem,.lang,items\lang\german\goldfishbowlfurnitureitem.lang,Goldfish Bowl Furniture,Goldfischglas,das,ein,dieses,Ein lebhafter Goldfisch wohnt in diesem runden Glas. Er sieht ziemlich appetitlich aus.
goldoreitem,.lang,items\lang\german\goldoreitem.lang,Gold Ore,Golderz,das,ein,dieses,"Ein Fluss mit wertvollem Golderz, das in Stein eingeschlossen ist."
granitecrabitem,.lang,items\lang\german\granitecrabitem.lang,Granite Crab,Granitkrabbe,die,eine,diese,Eine höhlenbewohnende Krabbe mit einer granitähnlichen Haut. Diese Tiere nisten sich gerne unter Felsbrocken ein.
graniteitem,.lang,items\lang\german\graniteitem.lang,Granite,Granit,der,ein,dieser,Ein Stück unpolierter Granitstein.
greedypawaccessoryitem,.lang,items\lang\german\greedypawaccessoryitem.lang,Greedy Paw Accessory,Gierige Pfote,die,eine,diese,"Wenn du dieses magische Amulett trägst, werden Gegenstände in der Nähe automatisch magnetisch in dein Inventar gezogen."
greenfireflyitem,.lang,items\lang\german\greenfireflyitem.lang,Green Firefly,Grünes Glühwürmchen,das,ein,dieses,"Ein glühender Sommerkäfer, der hellgrün leuchtet."
greenscarfaccessoryitem,.lang,items\lang\german\greenscarfaccessoryitem.lang,Green Scarf Accessory,Grüner Schal,der,ein,dieser,Jetzt kannst du gleichzeitig gemütlich und stilvoll sein!
greybeakyaccessoryitem,.lang,items\lang\german\greybeakyaccessoryitem.lang,Grey Beaky Accessory,Graue Schnabelmaske,die,eine,diese,"Eine seltsame Maske aus verwittertem Material mit einer schlanken, schnabelartigen Nase. Einige glauben, dass sie den Träger vor üblen Krankheiten schützen kann."
groovylampfurnitureitem,.lang,items\lang\german\groovylampfurnitureitem.lang,Groovy Lamp Furniture,Groovige Lampe,die,eine,diese,Eine faszinierend leuchtende Flüssigkeit bewegt sich unter der Hitze der eingelassenen Glühbirne in dieser Lampe. Abgefahren!
haloaccessoryitem,.lang,items\lang\german\haloaccessoryitem.lang,Halo Accessory,Halo,der,ein,dieser,Ein engelhaftes Aussehen für deine Katze.
hardcurioitem,.lang,items\lang\german\hardcurioitem.lang,Hard Curio,Harte Kuriosität,die,eine,diese,"Ein scheibenförmiges Objekt aus Kunststoff mit einer seltsamen, spiralförmigen Rille auf der Innenseite."
hareitem,.lang,items\lang\german\hareitem.lang,Hare,Hase,der,ein,dieser,"Eine große, kaninchenähnliche Kreatur mit langen Ohren und dunklen Ohrspitzen."
headlampaccessoryitem,.lang,items\lang\german\headlampaccessoryitem.lang,Headlamp Accessory,Stirnlampe,die,eine,diese,"Eine leistungsstarke Taschenlampe, gebaut von Maulwürfen für ihre langen Grabungen durch die dunklen Orte der Welt. Wenn du sie trägst, wird sie deine Umgebung erhellen."
headlampupgradeiiiitem,.lang,items\lang\german\headlampupgradeiiiitem.lang,Headlamp Upgrade III,Stirnlampe-Upgrade III,das,ein,dieses,Verstärkt erheblich die Leistung deines Accessoires ''Stirnlampe'' und vergrößert den Ausleuchtungsbereich. Erfordert ''Stirnlampe-Upgrade II''.
headlampupgradeiiitem,.lang,items\lang\german\headlampupgradeiiitem.lang,Headlamp Upgrade II,Stirnlampe-Upgrade II,das,ein,dieses,Verstärkt mäßig die Leistung deines Accessoires ''Stirnlampe'' und vergrößert den Ausleuchtungsbereich. Erfordert ''Stirnlampe-Upgrade I''.
headlampupgradeiitem,.lang,items\lang\german\headlampupgradeiitem.lang,Headlamp Upgrade I,Stirnlampe-Upgrade I,das,ein,dieses,Verstärkt leicht die Leistung deines Accessoires ''Stirnlampe'' und vergrößert den Ausleuchtungsbereich. Erfordert ''Stirnlampe''.
headlampupgraderecipeitem,.lang,items\lang\german\headlampupgraderecipeitem.lang,Headlamp Upgrade Recipe,Stirnlampe-Upgrade,das,ein,dieses,Verstärkt die Leistung deines Accessoires ''Stirnlampe'' und vergrößert den Ausleuchtungsbereich.
heavycurioitem,.lang,items\lang\german\heavycurioitem.lang,Heavy Curio,Schwere Kuriosität,die,eine,diese,"Ein schwerer Metallring, der an noch schwereren Metallgegenständen befestigt ist."
herbalistworkbenchfurnitureitem,.lang,items\lang\german\herbalistworkbenchfurnitureitem.lang,Herbalist Workbench Furniture,Kräuter-Werkbank,die,eine,diese,"Handwerksstation. Eine steinerne Werkbank mit allen Werkzeugen, die notwendig sind, um Kräuter zu verarbeiten und stärkere Mixturen aus ihnen herzustellen. Zur Erschaffung mächtiger Tränke."
hermitbeetleitem,.lang,items\lang\german\hermitbeetleitem.lang,Hermit Beetle,Eremit,der,ein,dieser,Ein großer Käfer mit einer blassblauen Schale.
honeycombitem,.lang,items\lang\german\honeycombitem.lang,Honeycomb,Honigwabe,die,eine,diese,"Ein süßer Leckerbissen, der aus einem Bienenstock voller wütender Bienen genommen wurde. Der Honig im Inneren gewährt für kurze Zeit Immunität gegen alle negativen Statuseffekte."
hornsaccessoryitem,.lang,items\lang\german\hornsaccessoryitem.lang,Horns Accessory,Hörner,die,ein,diese,Vorsicht vor den spitzen Enden!
inkycurioitem,.lang,items\lang\german\inkycurioitem.lang,Inky Curio,Tinten-Kuriosität,die,eine,diese,"Ein dunkler Kunststoffstab, der ein zufriedenstellendes Klickgeräusch erzeugt."
inventoryupgradeiiiitem,.lang,items\lang\german\inventoryupgradeiiiitem.lang,Inventory Upgrade III,Großzügige Taschen,die,ein,diese,Gegenstände werden jetzt in jedem Inventarplatz bis zu einem Maximum von 9 gestapelt.
inventoryupgradeiiitem,.lang,items\lang\german\inventoryupgradeiiitem.lang,Inventory Upgrade II,Geräumige Taschen,die,ein,diese,Gegenstände werden jetzt in jedem Inventarplatz bis zu einem Maximum von 7 gestapelt.
inventoryupgradeiitem,.lang,items\lang\german\inventoryupgradeiitem.lang,Inventory Upgrade I,Bescheidene Taschen,die,ein,diese,Gegenstände werden jetzt in jedem Inventarplatz bis zu einem Maximum von 5 gestapelt.
ironoreitem,.lang,items\lang\german\ironoreitem.lang,Iron Ore,Eisenerz,das,ein,dieses,Ein Steinbrocken mit einer sichtbaren Ader aus Eisenerz.
jarofleechesfurnitureitem,.lang,items\lang\german\jarofleechesfurnitureitem.lang,Jar Of Leeches Furniture,Glas mit Blutegeln,das,ein,dieses,Ein Glasgefäß gefüllt mit sich windenden Blutegeln. Wer würde so etwas in seinem Zuhause aufbewahren?
jinglycurioitem,.lang,items\lang\german\jinglycurioitem.lang,Jingly Curio,Schillernde Kuriosität,die,eine,diese,"Winzige Metallmünzen, die für Katzen wertlos sind, außer als Kuriosität."
knittedsweateraccessoryitem,.lang,items\lang\german\knittedsweateraccessoryitem.lang,Knitted Sweater Accessory,Gestrickter Pullover,der,ein,dieser,Ein bequemer roter Pullover.
lavenderfairitem,.lang,items\lang\german\lavenderfairitem.lang,Lavender [Fair],Lavendel,der,ein,dieser,"Ein duftender Strauß lila Blumen. Wird verwendet, um ein wenig Einfluss in einer Region zu gewinnen."
lavendergooditem,.lang,items\lang\german\lavendergooditem.lang,Lavender [Good],Lavendel,der,ein,dieser,"Ein aromatischer Strauß lila Blumen. Wird verwendet, um ein wenig Einfluss in einer Region zu gewinnen."
lavenderpooritem,.lang,items\lang\german\lavenderpooritem.lang,Lavender [Poor],Lavendel,der,ein,dieser,"Ein schöner Strauß lila Blumen. Wird verwendet, um ein wenig Einfluss in einer Region zu gewinnen."
lavenderseedsitem,.lang,items\lang\german\lavenderseedsitem.lang,Lavender Seeds,Lavendelsamen,die,ein,diese,"Kleine lila Samen, die von einer Lavendelpflanze stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
lavenderseedsrecipeitem,.lang,items\lang\german\lavenderseedsrecipeitem.lang,Lavender Seeds Recipe,Rezept für Lavendelsamen,das,ein,dieses,"Pflanze Lavendel in deinem Garten mit diesen Samen an! Lavendel kann verwendet werden, um schnell Macht in einer Region zu gewinnen."
licoricefairitem,.lang,items\lang\german\licoricefairitem.lang,Licorice [Fair],Lakritz,das,ein,dieses,Die Wurzeln dieser Pflanze können als schneller Snack gekaut werden.
licoricegooditem,.lang,items\lang\german\licoricegooditem.lang,Licorice [Good],Lakritz,das,ein,dieses,"Die Wurzeln dieser Pflanze können gekaut werden, um Hunger zu lindern."
licoricepooritem,.lang,items\lang\german\licoricepooritem.lang,Licorice [Poor],Lakritz,das,ein,dieses,"Die Wurzeln dieser Pflanze können gekaut werden, um sich leicht zu erfrischen."
licoriceseedsitem,.lang,items\lang\german\licoriceseedsitem.lang,Licorice Seeds,Lakritzsamen,die,ein,diese,"Kleine gelb gestreifte Samen, die von einer Lakritzpflanze stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
licoriceseedsrecipeitem,.lang,items\lang\german\licoriceseedsrecipeitem.lang,Licorice Seeds Recipe,Rezept für Lakritzsamen,das,ein,dieses,Pflanze Lakritz in deinem Garten mit diesen Samen an! Lakritzwurzeln können als schneller Snack gegessen werden.
litterboxfurnitureitem,.lang,items\lang\german\litterboxfurnitureitem.lang,Litter Box Furniture,Katzenklo,das,ein,dieses,"Kein sehr glamouröses Dekorationsstück, aber dennoch praktisch."
lizarditem,.lang,items\lang\german\lizarditem.lang,Lizard,Eidechse,die,eine,diese,"Eine schlanke, schleimige Kreatur. Sie sieht nicht sehr appetitlich aus."
longcurioitem,.lang,items\lang\german\longcurioitem.lang,Long Curio,Lange Kuriosität,die,eine,diese,"Ein leichtes Stöckchen mit einem winzigen Stückchen Baumwolle, das an beiden Enden angeklebt ist."
lunarbutterflyitem,.lang,items\lang\german\lunarbutterflyitem.lang,Lunar Butterfly,Mondschmetterling,der,ein,dieser,Dieses sagenumwobene Insekt hat durchsichtige Haut und strahlt ein seltsam blasses Licht aus.
lurkeritem,.lang,items\lang\german\lurkeritem.lang,Lurker,Lauerer,der,ein,dieser,"Ein hinterhältiger Geist, der die Angewohnheit hat, sich unsichtbar zu machen, wenn man es am wenigsten erwartet. Pass auf dich auf!"
mackerelitem,.lang,items\lang\german\mackerelitem.lang,Mackerel,Makrele,die,eine,diese,Ein silberbeschuppter Salzwasserfisch. Sein reflektierender Körper glänzt hell im Sonnenlicht.
magichataccessoryitem,.lang,items\lang\german\magichataccessoryitem.lang,Magic Hat Accessory,Zauberhut,der,ein,dieser,"Einige sagen, dass dieser Hut einst von einem mächtigen Magier getragen wurde."
magnetupgradeiiiitem,.lang,items\lang\german\magnetupgradeiiiitem.lang,Magnet Upgrade III,Gierige-Pfote-Upgrade III,das,ein,dieses,"Verstärkt erheblich das Accessoire ''Gierige Pfote'', wodurch die Reichweite der magnetischen Fähigkeit zum Aufnehmen von Gegenständen erhöht wird. Erfordert das Accessoire ''Gierige Pfote''."
magnetupgradeiiitem,.lang,items\lang\german\magnetupgradeiiitem.lang,Magnet Upgrade II,Gierige-Pfote-Upgrade II,das,ein,dieses,"Verstärkt mäßig das Accessoire ''Gierige Pfote'', wodurch die Reichweite der  magnetischen Fähigkeit zum Aufnehmen von Gegenständen erhöht wird. Erfordert das Accessoire ''Gierige Pfote''."
magnetupgradeiitem,.lang,items\lang\german\magnetupgradeiitem.lang,Magnet Upgrade I,Gierige-Pfote-Upgrade I,das,ein,dieses,"Verstärkt leicht das Accessoire ''Gierige Pfote'', wodurch die Reichweite der  magnetischen Fähigkeit zum Aufnehmen von Gegenständen erhöht wird. Erfordert das Accessoire ''Gierige Pfote''."
magnetupgraderecipeitem,.lang,items\lang\german\magnetupgraderecipeitem.lang,Magnet Upgrade Recipe,Gierige-Pfote-Upgrade,das,ein,dieses,"Verstärkt das Accessoire ''Gierige Pfote'', wodurch die Reichweite der magnetischen Fähigkeit zum Aufnehmen von Gegenständen erhöht wird."
magpieitem,.lang,items\lang\german\magpieitem.lang,Magpie,Elster,die,eine,diese,Ein kluger kleiner Vogel mit schwarzen und weißen Flecken.
malachiteitem,.lang,items\lang\german\malachiteitem.lang,Malachite,Malachit,der,ein,dieser,Ein kupfergrüner Edelstein mit einem wunderschön gebänderten Muster.
marbletilefurnitureitem,.lang,items\lang\german\marbletilefurnitureitem.lang,Marble Tile Furniture,Marmorfliese,die,eine,diese,Geschnittener und in einem Fischgrätenmuster verlegter Marmor für ein elegantes Aussehen.
marigoldfairitem,.lang,items\lang\german\marigoldfairitem.lang,Marigold [Fair],Ringelblume,die,eine,diese,Eine leuchtend orangefarbene Blume auf einem grünen Stiel. Heilt Vergiftungen und stellt eine kleine Menge an Gesundheit wieder her.
marigoldgooditem,.lang,items\lang\german\marigoldgooditem.lang,Marigold [Good],Ringelblume,die,eine,diese,Eine leuchtend orangefarbene Blume auf einem robusten Stiel. Heilt Vergiftungen und stellt eine kleine Menge an Gesundheit wieder her.
marigoldpooritem,.lang,items\lang\german\marigoldpooritem.lang,Marigold [Poor],Ringelblume,die,eine,diese,Eine leuchtend orangefarbene Blume auf einem verwelkten Stängel. Heilt sofort Vergiftungen.
marigoldseedsitem,.lang,items\lang\german\marigoldseedsitem.lang,Marigold Seeds,Ringelblumensamen,die,ein Haufen Ringelblumensamen,diese,"Lange, dünne Samen, die von einer Ringelblumenpflanze stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
marigoldseedsrecipeitem,.lang,items\lang\german\marigoldseedsrecipeitem.lang,Marigold Seeds Recipe,Rezept für Ringelblumensamen,das,ein,dieses,Pflanze Ringelblumen in deinem Garten mit diesen Samen an! Ringelblumenpflanzen sind für ihre heilenden Eigenschaften bekannt.
markedcurioitem,.lang,items\lang\german\markedcurioitem.lang,Marked Curio,Markierte Kuriosität,die,eine,diese,Ein Fetzen eines unbekannten Dokuments.
masonrykititem,.lang,items\lang\german\masonrykititem.lang,Masonry Kit,Maurerwerkzeug-Bausatz,der,ein,dieser,"Ein Bündel von Werkzeugen und Materialien für die Steinbearbeitung. Kann verwendet werden, um eine kaputte Treppe in den Minen zu reparieren."
masonrykitrecipeitem,.lang,items\lang\german\masonrykitrecipeitem.lang,Masonry Kit Recipe,Rezept für Maurerwerkzeug-Bausatz,das,ein,dieses,"Erstelle einen praktischen Maurerwerkzeug-Bausatz. Nützlich, wenn du beim Bergbau auf eine baufällige Treppe stößt!"
metalcurioitem,.lang,items\lang\german\metalcurioitem.lang,Metal Curio,Metallische Kuriosität,die,eine,diese,"Ein langes, gewundenes Stück dünnen Aluminiums."
minnowitem,.lang,items\lang\german\minnowitem.lang,Minnow,Elritze,die,eine,diese,Ein sehr kleiner Schwarmfisch aus einem Süßwasserfluss oder-teich.
molefurnacefurnitureitem,.lang,items\lang\german\molefurnacefurnitureitem.lang,Mole Furnace Furniture,Maulwurfsofen,der,ein,dieser,"Ein Steinziegelofen mit einem Maulwurfswappen, perfekt zum Erhitzen von Metall."
morelitem,.lang,items\lang\german\morelitem.lang,Morel,Morchel,die,eine,diese,Ein schrumpeliger Pilz mit großer Heilkraft.
mouseitem,.lang,items\lang\german\mouseitem.lang,Mouse,Maus,die,eine,diese,Eine leckere Maus. Achte auf die Schnurrhaare!
mugfurnitureitem,.lang,items\lang\german\mugfurnitureitem.lang,Mug Furniture,Becher,der,ein,dieser,"Ein Keramikbecher, der für menschliche Hände gemacht ist. Wäre es nicht lustig, ihn vom Tisch zu stoßen?"
murkitem,.lang,items\lang\german\murkitem.lang,Murk,Düsternis,die,eine,diese,"Eine dunkle Kreatur, die die Form eines riesigen, schattenhaften Maulwurfs annimmt und in den Minen gefunden wurde. Murk mag keine Eindringlinge."
mushroombundleitem,.lang,items\lang\german\mushroombundleitem.lang,Mushroom Bundle,Pilzbündel,das,ein,dieses,Stilvolle Pilzdekoration!
mushroomsaladitem,.lang,items\lang\german\mushroomsaladitem.lang,Mushroom Salad,Pilzsalat,der,ein,dieser,Verschiedene Arten von Pilzen werden zusammen mit Blattsalat zubereitet. Eine sehr sättigende Mahlzeit!
mushroomsaladrecipeitem,.lang,items\lang\german\mushroomsaladrecipeitem.lang,Mushroom Salad Recipe,Rezept für Pilzsalat,das,ein,dieses,Verschiedene Arten von Pilzen werden zusammen mit Blattsalat zubereitet. Eine sehr sättigende Mahlzeit!
mysteryseedsitem,.lang,items\lang\german\mysteryseedsitem.lang,Mystery Seeds,Geheimnisvolle Samen,die,ein,diese,"Eine Auswahl verschiedener Samen, die du nicht identifizieren kannst. Säe sie im Garten aus und schau, was wächst!"
mysteryseedsrecipeitem,.lang,items\lang\german\mysteryseedsrecipeitem.lang,Mystery Seeds Recipe,Rezept für geheimnisvolle Samen,das,ein,dieses,"Wer weiß, welche Pflanzen aus diesen vielseitigen Samen sprießen werden?"
naturalstonetilefurnitureitem,.lang,items\lang\german\naturalstonetilefurnitureitem.lang,Natural Stone Tile Furniture,Natursteinfliese,die,eine,diese,"Große Natursteine aus einem Fluss, die fachmännisch in ein organisches Muster verlegt wurden."
northernemeralditem,.lang,items\lang\german\northernemeralditem.lang,Northern Emerald,Nördlicher Smaragd,der,ein,dieser,"Ein brillantes Geschöpf, welches das Licht in atemberaubenden schillernden Mustern reflektiert!"
paintedbutterflyitem,.lang,items\lang\german\paintedbutterflyitem.lang,Painted Butterfly,Bemalter Schmetterling,der,ein,dieser,Ein geflügeltes Insekt mit einer leuchtend roten Farbe.
peppermintfairitem,.lang,items\lang\german\peppermintfairitem.lang,Peppermint [Fair],Pfefferminze,die,eine,diese,"Dieses scharf riechende Blatt kann den Geruch einer Katze überdecken, damit das Aufspüren von Beutetieren für eine Weile einfacher wird."
peppermintgooditem,.lang,items\lang\german\peppermintgooditem.lang,Peppermint [Good],Pfefferminze,die,eine,diese,"Dieses süßlich riechende Blatt kann den Geruch einer Katze überdecken, damit das Aufspüren von Beutetieren für eine Weile einfacher wird."
peppermintpooritem,.lang,items\lang\german\peppermintpooritem.lang,Peppermint [Poor],Pfefferminze,die,eine,diese,"Dieses seltsam riechende Blatt kann den Geruch einer Katze überdecken, damit das Aufspüren von Beutetieren für eine Weile einfacher wird."
peppermintseedsitem,.lang,items\lang\german\peppermintseedsitem.lang,Peppermint Seeds,Pfefferminzsamen,die,ein,diese,"Kleine schwarze Samen, die von einer Pfefferminzpflanze stammen. Säe sie im Garten aus und beobachte, wie sie wachsen!"
peppermintseedsrecipeitem,.lang,items\lang\german\peppermintseedsrecipeitem.lang,Peppermint Seeds Recipe,Rezept für Pfefferminzsamen,das,ein,dieses,Pflanze in deinem Garten Pfefferminze mit diesen Samen an! Der starke Duft von Pfefferminze kann den natürlichen Geruch einer Katze überdecken.
petbataccessoryitem,.lang,items\lang\german\petbataccessoryitem.lang,Pet Bat Accessory,Haustier-Fledermaus,die,eine,diese,"Eine unheimliche Fledermaus, die dir überallhin folgen wird!"
petbeeaccessoryitem,.lang,items\lang\german\petbeeaccessoryitem.lang,Pet Bee Accessory,Haustier-Biene,die,eine,diese,"Eine gutmütige Biene, die dir überallhin folgt!"
petbeetleaccessoryitem,.lang,items\lang\german\petbeetleaccessoryitem.lang,Pet Beetle Accessory,Haustier-Käfer,der,ein,dieser,"Ein fröhlicher blauer Käfer, der dir überallhin folgen wird!"
petbutterflyaccessoryitem,.lang,items\lang\german\petbutterflyaccessoryitem.lang,Pet Butterfly Accessory,Haustier-Schmetterling,der,ein,dieser,"Ein bunter Schmetterling, der dir überallhin folgen wird!"
petcrabaccessoryitem,.lang,items\lang\german\petcrabaccessoryitem.lang,Pet Crab Accessory,Haustier-Krabbe,die,eine,diese,"Eine mürrische kleine Krabbe, die dir überallhin folgen wird!"
petdragonflyaccessoryitem,.lang,items\lang\german\petdragonflyaccessoryitem.lang,Pet Dragonfly Accessory,Haustier-Libelle,die,eine,diese,"Eine schlanke marineblaue Libelle, die dir überallhin folgen wird!"
petfireflyaccessoryitem,.lang,items\lang\german\petfireflyaccessoryitem.lang,Pet Firefly Accessory,Haustier-Glühwürmchen,das,ein,dieses,"Ein leuchtendes gelbes Glühwürmchen, das dir überallhin folgen wird!"
petghostaccessoryitem,.lang,items\lang\german\petghostaccessoryitem.lang,Pet Ghost Accessory,Haustier-Geist,der,ein,dieser,"Ein unheimlicher Geist, der dich auf Schritt und Tritt verfolgen wird!"
petladybugaccessoryitem,.lang,items\lang\german\petladybugaccessoryitem.lang,Pet Ladybug Accessory,Haustier-Marienkäfer,der,ein,dieser,"Ein süßer roter Marienkäfer, der dir überallhin folgen wird!"
petmolbertaccessory,.lang,items\lang\german\petmolbertaccessory.lang,Pet Molbert Accessory,Haustier Molbert,das,ein,dieses,Ein mürrischer kleiner Maulwurf mit einer ausgezeichneten Nase. Rieche ich da Diamanten ...?
petmothaccessoryitem,.lang,items\lang\german\petmothaccessoryitem.lang,Pet Moth Accessory,Haustier-Motte,die,eine,diese,"Ein flatternder brauner Nachtfalter, der dir überallhin folgen wird!"
petrainbowfireflyaccessoryitem,.lang,items\lang\german\petrainbowfireflyaccessoryitem.lang,Pet Rainbow Firefly Accessory,Haustier-Regenbogen-Glühwürmchen,das,ein,dieses,"Ein schillerndes, mythisches Glühwürmchen, das in allen Farben des Regenbogens leuchtet."
petrataccessoryitem,.lang,items\lang\german\petrataccessoryitem.lang,Pet Rat Accessory,Haustier-Ratte,die,eine,diese,"Ein großes Nagetier, das dir überallhin folgen wird!"
petrockdebrisaccessoryitem,.lang,items\lang\german\petrockdebrisaccessoryitem.lang,Pet Rock Debris Accessory,Haustier-Stein,der,ein,dieser,"Ein gewöhnlicher Stein. Du solltest nicht viel von ihm erwarten. Moment mal, hat er sich gerade bewegt ...?"
petspideraccessoryitem,.lang,items\lang\german\petspideraccessoryitem.lang,Pet Spider Accessory,Haustier-Spinne,die,eine,diese,"Eine furchterregende lila Spinne, die dir überallhin folgen wird!"
petturtleaccessoryitem,.lang,items\lang\german\petturtleaccessoryitem.lang,Pet Turtle Accessory,Haustier-Schildkröte,die,eine,diese,"Eine freundliche kleine Schildkröte, die dir überallhin folgen wird!"
petwolfspideraccessoryitem,.lang,items\lang\german\petwolfspideraccessoryitem.lang,Pet Wolf Spider Accessory,Haustier-Wolfsspinne,die,eine,diese,"Eine schreckliche orange Spinne, die dir überallhin folgen wird!"
pickaxefurnitureitem,.lang,items\lang\german\pickaxefurnitureitem.lang,Pickaxe Furniture,Spitzhacke,die,eine,diese,"Ein schweres Grabwerkzeug, das stolz an deiner Wand ausgestellt werden kann. Es sieht glänzend und neu aus!"
pigeonitem,.lang,items\lang\german\pigeonitem.lang,Pigeon,Taube,die,eine,diese,Ein mittelgroßer Vogel mit blau gefärbtem Gefieder.
pikeitem,.lang,items\lang\german\pikeitem.lang,Pike,Hecht,der,ein,dieser,Ein riesiger hellgelber Fisch. Kommt in Süßwasserumgebungen vor.
pitlodeitem,.lang,items\lang\german\pitlodeitem.lang,Pitlode,Minenjuwel,das,ein,dieses,Ein kleiner Edelstein mit einem seltsamen dunklen Muster.
plantfooditem,.lang,items\lang\german\plantfooditem.lang,Plant Food,Pflanzennährstoff,der,ein,dieser,Idealer Nährstoff für eine wachsende Pflanze. Trage ihn täglich auf jede Pflanze in deinem Garten auf und du wirst hochwertige Kräuter anbauen! Wird bei der Anwendung verbraucht.
plantfoodrecipeitem,.lang,items\lang\german\plantfoodrecipeitem.lang,Plant Food Recipe,Rezept für Pflanzennährstoff,das,ein,dieses,Versorge deinen Kräutergarten gut mit diesem Pflanzennährstoff!
plasticcurioitem,.lang,items\lang\german\plasticcurioitem.lang,Plastic Curio,Kunststoff-Kuriosität,die,eine,diese,Ein Ring aus knallbuntem Kunststoff mit stacheligen Teilen auf der Innenseite.
platinumoreitem,.lang,items\lang\german\platinumoreitem.lang,Platinum Ore,Platinerz,das,ein,dieses,"Unverarbeitetes Platin. Ein wertvolles Mineral, das nur in bestimmten Höhlen gefunden wird."
plushrugfurnitureitem,.lang,items\lang\german\plushrugfurnitureitem.lang,Plush Rug Furniture,Plüschteppich,der,ein,dieser,"Ein kleiner Bodenteppich aus dicken rosa Fasern, die sich sehr weich an den Pfoten anfühlen."
pointycurioitem,.lang,items\lang\german\pointycurioitem.lang,Pointy Curio,Spitze Kuriosität,die,eine,diese,Ein dünnes gelbes Stöckchen mit einer spitzen Spitze.
