file,extension,path,lang_task_title,lang_task_description,lang_task_in_progress_dialog,lang_task_complete_dialog
ohrats,.lang,tasks\lang\german\ohrats.lang,"Oh, Ratten","Bist du jemals von einer Ratte gebissen worden? Es ist keine angenehme Erfahrung. Vertrau mir. Je weniger Ratten herumlaufen, desto glücklicher werde ich als Maulwurf sein.","[neutral]Ich wurde vor vielen Jahren einmal von einer riesigen Ratte gebissen. Ich habe nie vergessen, wie es sich angefühlt hat. Diese Fangzähne sind nicht zu unterschätzen.///[neutral]Ich denke, wir sollten die Ratten dezimieren. So bleiben meine Maulwürfe sicherer.///[neutral]Am einfachsten findet man sie auf giftigen Minenböden. Wer hätte das gedacht?!","[neutral]Ich habe gehört, du hast ein paar Ratten gefunden. Okay, gib sie her. Es besteht kein Grund, sentimental zu werden.///[neutral]Und hier ist dein Lohn für einen harten Arbeitstag."
peaceoffering,.lang,tasks\lang\german\peaceoffering.lang,Friedensangebot,"Ich habe versucht, mit allen meinen Nachbarn befreundet zu sein, und ich denke, dass es mir sehr helfen würde, wenn ich ein paar Tauben als Geschenk anbieten könnte.","[neutral]Ich verstehe, dass die [green]Tauben[/green] in vielen Kulturen ein traditionelles Geschenk sind. Ich möchte meinen Nachbarn eine Freundlichkeit erweisen, indem ich jedem eine [green]Taube[/green] anbiete.///[neutral]Aber ich kann den Garten nicht unbeaufsichtigt lassen, deshalb habe ich um Hilfe gebeten. Kannst du meine verirrten [green]Tauben[/green] finden, #player_name#?","[happy]Ah, die werden perfekt sein. Sie werden das perfekte Geschenk sein, wenn sie mit frischen Kräutern aus meinem Vorrat kombiniert werden.///[playful]Ich danke dir für deinen großzügigen Service, #player_name#. Ich werde diese Freundlichkeit nicht vergessen."
peskysquirrels,.lang,tasks\lang\german\peskysquirrels.lang,Nervige Eichhörnchen,Diese verdammten Eichhörnchen klettern ständig auf die Höhle und zerreißen das Dach! Jemand muss ihrem Diebstahl ein Ende setzen.,"[shocked]Ich habe letzte Nacht kaum geschlafen wegen diesen verdammten [green]Eichhörnchen[/green], die mich wach gehalten haben. Sie sind so laut, wenn sie über das Dach laufen!///[thinking]Ich denke, sie stehlen die Zweige, um ihre eigenen Nester zu bauen. Ich muss das Dach immer wieder überprüfen und die Löcher reparieren, die sie hinterlassen.///[angry]Ich würde es wirklich zu schätzen wissen, wenn jemand ihrem Treiben ein Ende setzen könnte.","[playful]Ja, da sind diese lästigen [green]Eichhörnchen[/green]! Sieht aus, als hättest du sie alle eingefangen. Ich habe sie in letzter Zeit nicht mehr auf dem Dach gehört, also denke ich, dass es fürs Erste genug ist.///[happy]Danke für deine Hilfe, #player_name#."
pickmeup,.lang,tasks\lang\german\pickmeup.lang,Muntermacher,"Ich möchte nicht stören, aber mir ist neulich der Baldrian ausgegangen. Könnte jemand freundlicherweise etwas für mich ernten? Wahrscheinlich nicht ...","[sad]Oh, es ist einfach schrecklich. Ich habe keinen [green]Baldrian[/green] mehr. An Tagen wie diesen könnte ich die zusätzliche Energie gebrauchen, aber ich habe keine mehr übrig.///[sad]Es ist wahrscheinlich ein Zeichen, dass ich einfach ins Bett zurückkehren sollte ...","[shocked]Wow, du bist tatsächlich losgezogen und hast das für mich gesammelt? Ich weiß nicht, was ich sagen soll ...///[playful]Das ist super nett von dir, #player_name#. Ich dachte nicht, dass überhaupt jemand meine Anfrage sehen würde. Danke."
pinchers,.lang,tasks\lang\german\pinchers.lang,Kneifer,"Ich kann nicht einmal zum Strand gehen, ohne von diesen bedrohlichen Krabben angegriffen zu werden. Hey, jemand interessiert daran, ihre Anzahl zu reduzieren?","[angry]Ich war am Strand und versuchte, einige Fische zu fangen, als plötzlich eine wütende [green]Krabbe[/green] hinter mir herlief!///[sad]Bist du jemals von einer [green]Krabbe[/green] gekniffen worden? Ich würde es nicht empfehlen.",Hast du einige dieser schrecklichen [green]Krabben[/green] erledigt? Großartig. Jetzt kann ich zum Strand zurück und muss mir nicht mehr so viele Sorgen machen.
powerfulplants,.lang,tasks\lang\german\powerfulplants.lang,Mächtige Pflanzen,"Hey, hast du zufällig etwas Schlangenwurz übrig? Ich brauche etwas davon für mein nächstes Abenteuer. Ich plane, mich mit ein oder zwei dieser Schattenkatzen anzulegen.","[thinking][green]Schlangenwurz[/green]. Das ist eine Pflanze mit einer seltsam aussehenden lila Knolle am Ende. Denkst du, dass du das schaffen kannst?///[neutral]Sei vorsichtig beim Umgang damit. Du weißt, dass sie giftig ist.","[happy]Hey, das ist genau das, wonach ich gesucht habe! Großartig. Diese Schattenkatzen werden nicht wissen, was sie getroffen hat.///[neutral]Ich werde sicherstellen, dass ich dieses [green]Schlangenwurz[/green] gut einsetze. Mach dir darüber keine Sorgen."
prettyandpainful,.lang,tasks\lang\german\prettyandpainful.lang,Hübsch & Schmerzhaft,"Ohne Fingerhut, den ich auf meine Klauen auftrage, kann ich im Kampf nicht zu Höchstleistungen auflaufen. Ich weiß, dass er selten ist, aber kann jemand welchen für mich auftreiben?","[neutral]Ich sollte an vorderster Front sein und mit den besten und klügsten Kampfkatzen kämpfen! Aber mir ist der [green]Fingerhut[/green] ausgegangen.///[thinking]Ich brauche mehr, bevor ich mich in einen weiteren Kampf stürze. Hast du irgendwo noch welchen herumliegen, #player_name#?","[happy]Ich wusste, dass du es schaffen würdest, #player_name#. Das ist genau das, was ich brauchte, um wieder in Schwung zu kommen.///[playful]Diese Schattenkatzen sollten sich besser in Acht nehmen, jetzt, wo #npc_name_champ# wieder im Kampf ist!"
quartzdecor,.lang,tasks\lang\german\quartzdecor.lang,Quarz-Dekoration,"Zur Vorbereitung auf das bevorstehende Fest benötige ich mehr Quarz, um einige der Dekorationen herzustellen. Ich kann keine Pfote entbehren, um selbst danach zu schürfen. Freiwillige?","[shocked]Ich stecke in einer Zwickmühle. Ich brauche mehr [green]Quarz[/green], um die Dekoration für das bevorstehende Fest herzustellen, aber mein Zeitplan ist zu voll, um selbst zu schürfen.///[neutral]Könntest du vielleicht in die Höhlen gehen und etwas für mich finden? Das wäre äußerst hilfreich.","[happy]Oh, da ist das [green]Quarz[/green], das ich brauche! Und gerade noch rechtzeitig.///[neutral]Du hast mal wieder den Tag gerettet, #player_name#. Ich bin dir für deine Hilfe dankbar."
reddragon,.lang,tasks\lang\german\reddragon.lang,Roter Drache,"Hast du diese rot gefärbten Libellen gesehen, die da herumfliegen? Ich glaube, ich möchte auch eine für mich haben.","[thinking]Verzeihung, dass ich frage, aber ich würde wirklich gerne eine [green]gebänderte Heidelibelle[/green] in meine Pfoten bekommen. Sie sind so ziemlich die schönsten Libellen, die ich je gesehen habe!///[neutral]Aber ich habe es nicht eilig, also wenn du eine siehst, bring sie mir. Ich denke, sie sollten bis zum Ende des Herbstes da sein.","[happy]Das ist eine dieser glänzenden roten [green]gebänderten Heidelibellen[/green], oder? Ja, genau so sieht sie aus. Ich schätze, du hast einige Zeit gebraucht, um diese Schönheit von einer Libelle aufzutreiben.///[neutral]Abgemacht ist abgemacht, also werde ich dir jetzt deine Belohnung geben. Vielen Dank, #player_name#."
researchproject,.lang,tasks\lang\german\researchproject.lang,Forschungsprojekt,"Ich möchte mehr über die Pflanzen erfahren, die in der Nähe wachsen! Ich suche jemanden, der ein paar auswählt und mir von ihren Immobilien erzählt.","[neutral]Oh, hast du von meinem Projekt gehört? Ja, ich denke darüber nach, ein Buch über Pflanzen zu schreiben, aber ich weiß nicht viel über sie.///[playful]Hier kommen Sie ins Spiel! Ich brauche jemanden, der ein paar wild wachsende Pflanzen findet und mir alles darüber erzählt, was sie finden. Kannst du das für mich tun?","[happy]Oh schön! Du hast alle Pflanzen schon gefunden? Das ist großartig!///[thinking]Erzählen Sie mir ein wenig über jeden einzelnen und ich lasse Sie sie sogar behalten. Meistens bin ich nur neugierig, welche Pflanzenarten in der Nähe wachsen.///[happy]Danke, #player_name#! Ohne dich hätte ich es nicht geschafft."
seasidesouvenir,.lang,tasks\lang\german\seasidesouvenir.lang,Souvenir vom Meer,"Ich weiß, es ist unwahrscheinlich, aber hat eine Katze zufällig eine Ersatzmuschel zur Hand? Ich suche schon seit Ewigkeiten danach!","[shocked]Ich habe gehört, wenn man sein Ohr an eine [green]Muschel[/green] hält, kann man das Meer darin hören!///[neutral]Seitdem ich dieses Gerücht gehört habe, muss ich es unbedingt selbst ausprobieren. Stimmt das?///[shocked]Ich denke, es gibt nur einen Weg, es herauszufinden!","[shocked]Wow, eine echte [green]Muschel[/green]! Glaubst du, ich werde das Meer hören, wenn ich sie an mein Ohr halte? Los geht's ...///[happy]Hey, das klingt tatsächlich ein bisschen wie das Meer! Wow, das macht Spaß!///[playful]Danke, dass du sie für mich gefunden hast."
shadowstone,.lang,tasks\lang\german\shadowstone.lang,Schattenstein,"In den dunkelsten Höhlen liegt ein besonderer Edelstein, den ich benötige. Ich muss es bald haben...","[shocked]Ich bin nicht in der Stimmung, zu den Einzelheiten meiner Anfrage zu sprechen! Ich muss einfach ein paar der Edelsteine besorgen, die als [green]Minenjuwel[/green] bekannt sind, und ich muss sie beeilen!","[playful]Sie haben die Edelsteine, die ich benötige? Gut, gut ... Ich begann die Hoffnung zu verlieren, dass du sie mir übergeben würdest.///[neutral]Sie haben sich als würdiger Verbündeter erwiesen."
shrewsouffle,.lang,tasks\lang\german\shrewsouffle.lang,Spitzmaus-Soufflé,"Ich möchte gerne ein neues Rezept ausprobieren, aber mir gehen die Spitzmäuse aus. Hat jemand etwas Zeit, um ein paar für mich aufzuspüren? Das wäre so nett!","[neutral]Ich hatte vor vielen Jahren das köstlichste Gericht namens [red]Spitzmaus-Soufflé[/red]. Kürzlich bin ich auf ein Rezept gestoßen, um das Gericht zuzubereiten, aber ich kann die Zutaten nicht selbst beschaffen.///[shocked]Alles, was ich brauche, sind ein paar [green]Spitzmäuse[/green]! Hey, #player_name#, du bist ziemlich gut im Jagen, oder? Denkst du, du könntest sie für mich auftreiben?","[playful]Oh, wie aufregend! Da sind die [green]Spitzmäuse[/green], die ich für mein Rezept brauche! Danke, #player_name#.///[thinking]Ich hoffe wirklich, das wird nur halb so gut, wie ich es in Erinnerung habe ..."
skirmishes,.lang,tasks\lang\german\skirmishes.lang,Gefechte,"Es scheint immer irgendwo in der Wildnis Gefechte zu geben. Wir brauchen eine fähige Kampfkatze, die sich dem Kampf anschließt und die Bösewichte zurückschlägt.","[neutral]Du bist hier, um nach der Aufgabe zu fragen, die ich gepostet habe? Ja, wir brauchen mehr Kampfkatzen an vorderster Front.///[thinking]Es scheint jeden Tag ein paar Gefechte zu geben. Du kannst sie auf deiner Karte finden.///[neutral]Wir brauchen dich, um in ein paar dieser Kämpfe zu springen und für #colony_title# zu kämpfen. Kannst du das tun, #player_name#?","[happy]Ich habe gehört, dass du dich auf dem Feld sehr gut geschlagen hast. Man sagt, dass du mit der Stärke von zehn Katzen kämpfst.///[playful]Wir haben großes Glück, dich als #leader_title# für unsere Kolonie zu haben, #player_name#."
slimysnack,.lang,tasks\lang\german\slimysnack.lang,Schleimiger Snack,"Ich brauche Frösche, aber ich bin nie in der Nähe des Sumpfes. Wenn irgendeine Katze in diese Richtung geht, würde ich ihre Hilfe schätzen.","[neutral]Ah ja, du hast meinen Beitrag an der Aufgabentafel gesehen? Ich suche nach einigen [green]Fröschen[/green] aus dem Sumpf im Südwesten.///[shocked]Nicht für mich, versteht sich! Die Textur lässt sehr zu wünschen übrig. Sie sind als Geschenk gedacht.///[neutral]Ein gut durchdachtes Geschenk trägt dazu bei, Freunde zu gewinnen, #player_name#.","[shocked]Ah, da sind die [green]Frösche[/green]. Ziemlich unansehnlich, aber ich habe gehört, dass sie in bestimmten Gemeinschaften eine seltene Delikatesse darstellen.///[neutral]Ich nehme sie dir ab. Ich schätze deine Hilfe, #player_name#. Ich werde es nicht vergessen."
spelunking,.lang,tasks\lang\german\spelunking.lang,Höhlenforschung,"Gesucht: Eine Katze mit Lust auf Erkundung und Abenteuer, um eine neue Route durch die Minen auszukundschaften.","[neutral]Die Firma möchte, dass wir neue Routen finden, um zum unteren Teil der Mine zu gelangen. Die Gewerkschaft sagt, dass wir einen stabileren Tunnel finden müssen, der nicht so oft einstürzt.///[neutral]Man, sie nehmen immer die kostbare Zeit meiner Bergleute in Anspruch. Ich kann keinen Maulwurf abstellen, um zu graben, also habe ich dich eingestellt. Denkst du, du bist der Herausforderung gewachsen?","[neutral]Du bist ja ganz mit Ruß und Schutt bedeckt! Du solltest dein Fell sehen. Es sieht ziemlich traurig aus.///[neutral]Wie auch immer, ich sehe an deinem Aussehen, dass du getan hast, was ich verlangt habe und für deine Belohnung hier bist. Nimm sie, du hast sie dir verdient.///[neutral]Ich werde einen weiteren Job an die Tafel posten, wenn wir wieder deine Grabungsexpertise benötigen. Jetzt hau ab, ich habe Arbeit zu tun!"
squeakers,.lang,tasks\lang\german\squeakers.lang,Quietscher,"Meine Maulwürfe werden von diesen nervigen Fledermäusen verunsichert. Sie sind überall in den Höhlen. Wir brauchen eine Spezialkatze, die hereinkommt und ein paar von ihnen erledigt, okay?","[neutral]Hier unten gibt es so viel Quietschen, dass man kaum arbeiten kann! Es macht uns alle verrückt.///[neutral]Je schneller du das Problem löst, desto produktiver können meine Maulwürfe sein. Also beeil dich!","[neutral]Wie bitte? Du hast die Fledermäuse entfernt, wie ich dich darum gebeten habe? Das erklärt, warum es hier so ruhig ist.///[neutral]Gut, hier sind deine [green]Aufgaben-Tokens[/green], wie versprochen. Gute Arbeit. Ich werde dich informieren, wenn sie zurückkommen, okay?"
stonestudy,.lang,tasks\lang\german\stonestudy.lang,Steinstudie,"Ich suche eine Katze mit einer Vorliebe für Archäologie, die einige der saisonalen Schnitzereien in der Wildnis besucht und mir Bericht erstattet.","[neutral]Ja, #player_name#? Hattest du Fragen zu der Aufgabe, die ich gepostet habe?///[thinking]Ich möchte eine Katze schicken, um ein paar der [orange]saisonalen Schnitzereien[/orange] zu untersuchen, die in der Wildnis herumstehen. Es gibt insgesamt vier, aber du musst nur zwei besuchen.///[neutral]Dann erstatte Bericht. Ich kenne ihre ganze Geschichte nicht, aber mit regelmäßigen Besuchen und Studien können wir sie vielleicht gemeinsam herausfinden.","[thinking]Du hast die [orange]saisonalen Schnitzereien[/orange] besucht? Hervorragende Arbeit, #player_name#. Gab es irgendwas Unpassendes oder Fehlendes?///[neutral]Nein? Sie waren genauso wie immer? Das ist gut. Es wäre beunruhigend, wenn sie sich verändert hätten.///[thinking]Wie dem auch sei, hier ist deine Belohnung. Vielen Dank, dass du mir geholfen hast."
strangeshroom,.lang,tasks\lang\german\strangeshroom.lang,Seltsamer Pilz,"Ich brauche einen Fliegenpilz. Stelle keine Fragen, mach es einfach.","[neutral]Ja, ich brauche einen [green]Fliegenpilz[/green]. Das sind lustige kleine Pilze mit einem gepunkteten Hut.///[thinking]Nein, ich schulde dir keine Erklärung. Ich tauche ja auch nicht auf und frage dich nach allem, was du tust, oder?","[neutral]Nun ja, er ist ein bisschen klein, aber es wird wohl reichen. Hier sind ein paar [green]Aufgaben-Tokens[/green] oder so."
strongscent,.lang,tasks\lang\german\strongscent.lang,Starker Duft,"Ich habe bemerkt, dass die Schattenkatzen den Duft von Lavendel meiden. Wir müssen so viel wie möglich ernten, um eine starke Grenze um unser Territorium zu ziehen.","[neutral]Finde etwas [green]Lavendel[/green]. Er sollte nicht allzu schwer zu erkennen sein, er ist helllila und hat einen sehr starken Duft.///[thinking]Er wird uns helfen, unsere Grenzen zu sichern. Vertrau mir.","[neutral]Gute Arbeit, das ist erstmal genug [green]Lavendel[/green]. Ich werde es aus deinen Pfoten nehmen und anwenden, wo es gebraucht wird."
takenashine,.lang,tasks\lang\german\takenashine.lang,Auf Hochglanz gebracht,"Ich wäre jeder Katze dankbar, die etwas Golderz finden könnte! Es scheint, als hätte ich meins verlegt.","[neutral]Du hast mein Angebot an der Aufgabentafel gesehen? Das ist eine großartige Entwicklung! Ich bin sicher, dass sich mein [green]Golderz[/green] in deinen fähigen Pfoten in kürzester Zeit anfinden wird. Ich zähle auf dich, #player_name#!","[neutral]Ja, das sieht für mich nach [green]Golderz[/green] aus! Erlaube mir, seine Qualität zu bewerten ...///[neutral]Tatsächlich muss dieses Erz aus einer reichen Ader stammen. Du hast dich selbst übertroffen, #player_name#. Meine Sammlung ist wieder vollständig!"
thehunt,.lang,tasks\lang\german\thehunt.lang,Die Jagd,"Die Jagd ist eröffnet! Wir können in der Stadt immer mehr Nahrung gebrauchen. Kann eine Katze eine Menge Beute fangen? Du kannst behalten, was du fängst.","[thinking]Es ist nie verkehrt, etwas zusätzliches Essen zu haben. Wenn du dazu bereit bist, zahle ich dir einige [green]Aufgaben-Tokens[/green], wenn du viele Beutetiere fängst.///[neutral]Du darfst sogar behalten, was du fängst. Was hältst du davon?","[neutral]Ich habe von mehreren Einheimischen gehört, dass du, #player_name#, sehr beschäftigt damit warst, in der Wildnis zu jagen.///[thinking]Wir alle schätzen deine Bemühungen, dafür zu sorgen, dass genug Nahrung für alle da ist. Klingt für mich nach einer gut erledigten Arbeit."
theirony,.lang,tasks\lang\german\theirony.lang,Das Eisenerz,"Kein Eisenerz mehr. Das ist das erste Mal. Ich brauche eine Katze, die für mich graben geht, ich kann die Schmiede nicht verlassen.","[neutral]Jemand ist aufgestanden und mit meinem ganzen [green]Eisenerz[/green] abgehauen! Warst du das, #player_name#?///[neutral]Wenn ja, dann lass dich besser nicht erwischen. Wie auch immer, ich brauche mehr, also fang an zu graben!","[neutral]Hey, das sieht aus wie ein Haufen [green]Eisenerz[/green], oder? Gib es her und beeil dich!///[neutral]Hmm, das schlechteste [green]Eisenerz[/green], das ich je gesehen habe, aber es wird vorerst reichen."
thisiswar,.lang,tasks\lang\german\thisiswar.lang,Das ist Krieg,Scouts berichten von Armeen von Schattenkatzen in Bewegung. Unsere Truppen sind überfordert und bitten um sofortige Verstärkung.,"[angry]Hey, der Krieg tobt da draußen! Was stehst du hier herum?///[thinking]Unsere Truppen brauchen dringend einen Kommandanten, der ihnen hilft, sich zu sammeln, und du bist nicht bei ihnen. Los, #player_name#, kämpfe für #colony_title#!","[playful]Hmm, ich habe gerade den neuesten Bericht von den Scouts erhalten. Ich habe gehört, dass du maßgeblich dazu beigetragen hast, den Krieg zu wenden.///[happy]Du hast gute Arbeit für unsere Truppen geleistet. Gut gemacht, da draußen."
toadtroubles,.lang,tasks\lang\german\toadtroubles.lang,Krötenprobleme,"Ich habe in meinem Lager herumgegraben und festgestellt, dass mir die Kröten ausgegangen sind. Ich brauche sie für ein Projekt, an dem ich arbeite. Kann mir jemand helfen?","[neutral]Ja, du fragst nach meinen [green]Kröten[/green]? Ich brauche ein paar für ein Projekt.///[thinking]Ich habe eine Theorie, dass die Warzen von einer [green]Kröte[/green] gut mit einigen Kräutern gemischt werden können, um eine Haarstyling-Creme zu kreieren. Seltsam, ich weiß. Aber vielleicht wird es funktionieren? Oder auch nicht.///[neutral]Wie auch immer, ich habe keine [green]Kröten[/green], mit denen ich experimentieren kann, also brauche ich eine Katze, die ein paar für mich findet. Kannst du das tun?","[shocked]Ah, da ist das Exemplar, das ich angefordert habe! Wie lange hast du gebraucht, um diese Kreaturen zu finden?///[playful]Wie dem auch sei, ich werde sie gerne annehmen. Gute Arbeit, #player_name#."
towndefense,.lang,tasks\lang\german\towndefense.lang,Stadtverteidigung,"Diese bösen Schattenkatzen kommen immer näher an die Stadt heran. Wir brauchen eine Katze, die ihren Vormarsch stoppt.","[neutral]Hast du das bemerkt? Diese Schattenkatzen kommen immer näher an die Stadt heran. Es ist beunruhigend, um es gelinde auszudrücken.///[thinking]Wir brauchen eine mutige Katze, die hinausgeht und sie aufhält. Die Sicherheit von #colony_title# hängt davon ab.","[neutral]Du hast einen großartigen Dienst für #colony_title# geleistet, #player_name#. Du hast uns einen weiteren Tag in Frieden gesichert. Wir sind alle dankbar für deine Bemühungen!"
unkindcandles,.lang,tasks\lang\german\unkindcandles.lang,Unfreundliche Motten,"Meine Maulwürfe graben nicht einmal mehr, weil sie von diesen schrecklichen Wachsmotten befallen werden. Ich brauche eine Katze, die hereinkommt und sie raustreibt, okay?","[neutral]All diese Maulwürfe, die ich eingestellt habe, sind eine Bande von Babys. Sie graben nicht weiter, seit wir auf diese widerlichen [red]Wachsmotten[/red] gestoßen sind.///[neutral]Denkst du, du kannst da heruntergehen und ein paar von ihnen beseitigen? Dann können wir wieder auf Kurs kommen.","[neutral]Hey, ich höre wieder Spitzhacken. Du musst genug von diesen lästigen [red]Wachsmotten[/red] besiegt haben, um die Dinge wieder in Gang zu bringen.///[neutral]Wie auch immer, hier sind deine [green]Aufgaben-Tokens[/green]. Ich werde dich informieren, wenn wir in Zukunft wieder auf ein Hindernis stoßen."
weaselwoes,.lang,tasks\lang\german\weaselwoes.lang,Wieselprobleme,"Es gibt Berichte über ein Wiesel, das in der Wildnis herumläuft. Wir brauchen eine erfahrene Katze der Jagd, um es aufzuspüren und in die Stadt zurückzubringen.","[thinking]Die Scouts haben berichtet, dass irgendwo in der Wildnis um die Stadt herum ein [green]Wiesel[/green] lebt. Sie konnten jedoch nicht das Versteck finden.///[neutral]Vielleicht hast du bei deiner Jagd mehr Glück?","[happy]Wow, das ist ein riesiges [green]Wiesel[/green]! Gute Arbeit, #player_name#. Diese Kreaturen sind bekannt dafür, schlau und schwer zu finden zu sein.///[neutral]Ich werde allen mitteilen, dass du das [green]Wiesel[/green] gefunden hast. Das macht dich zur besten Katze der Jagd von uns allen!"
wingsofautumn,.lang,tasks\lang\german\wingsofautumn.lang,Flügel des Herbstes,"Diese Helm-Azurjungfern sind wirklich cool, oder? Ich möchte sie für meine Sammlung fangen, aber ich hatte nicht viel Glück. Kann mir jemand helfen?","[angry]Diese [green]Helm-Azurjungfern[/green] sind wunderschöne Libellen, findest du nicht auch? Aber sie sind so schnell, dass ich nicht mithalten kann!///[playful]Sag mal, kannst du ein paar für mich fangen? Das wäre das Coolste! Ich würde dir echt was schulden!","[happy]Ach, schau, du hast ein paar [green]Helm-Azurjungfern[/green] für mich! Ja, ich wusste, dass du es schaffen würdest, #player_name#!///[playful]Ich schätze deine Hilfe wirklich sehr. Ich hätte niemals selbst so viele alleine fangen können."
wingsofnight,.lang,tasks\lang\german\wingsofnight.lang,Flügel der Nacht,"Hey, wo denkst du, gehen Glühwürmchen während des Tages hin? Ich kann sie nirgendwo finden! Kann eine Katze ein paar weiße Glühwürmchen für mich fangen? Ich kann mit Aufgaben-Tokens bezahlen!","[happy]Diese [green]weißen Glühwürmchen[/green] scheinen wirklich nur dann herauszukommen, wenn ich schon zu müde bin, um sie zu jagen. Vielleicht kannst du ein paar für mich fangen?","[happy]Schau, wie hell diese [green]weißen Glühwürmchen[/green] sind! Ich wette, sie würden ein tolles Nachtlicht abgeben.///[playful]Danke, #player_name#, ich schulde dir was."
wingsofspring,.lang,tasks\lang\german\wingsofspring.lang,Flügel des Frühlings,"Ich kann nicht aufhören, den roten Marienkäfern beim Fliegen zuzusehen! Sind sie nicht hübsch? Aber ich brauche welche für meine Sammlung, bevor sie alle verschwinden!","[playful]Ich könnte stundenlang zusehen, wie die [green]roten Marienkäfer[/green] herumfliegen! Sind ihre Punkte nicht einfach cool?///[shocked]Ich mache mir Sorgen, dass ich keine fangen werde, bevor sie alle für dieses Jahr verschwinden. Kannst du mir helfen, ein paar zu fangen? Danke, #player_name#!","[shocked]Wow, die sind perfekt! Ich werde sie meiner Sammlung hinzufügen, sobald ich zu Hause bin. Danke, #player_name#! Du bist die coolste Katze!"
wingsofsummer,.lang,tasks\lang\german\wingsofsummer.lang,Flügel des Sommers,"Ich liebe einfach den Anblick dieser bemalten Schmetterlinge! Ich habe bereits mehrere, aber ich könnte noch ein paar für meine Sammlung gebrauchen. Freiwillige?","[playful]Hey, ich war gerade auf dem Weg, um einen [green]bemalten Schmetterling[/green] zu fangen, als du in mich hineingerannt bist! Ich habe gehört, dass du mir dabei helfen wirst, oder?///[happy]Denkst du, du kannst drei von ihnen für mich finden? Danke, #player_name#.","[neutral]Oh wow, das sind die drei perfektesten [green]bemalten Schmetterlinge[/green], die ich je gesehen habe! Ich muss einen tollen Platz für sie finden.///[playful]Danke für deine Hilfe, #player_name#."
wingsofwinter,.lang,tasks\lang\german\wingsofwinter.lang,Flügel des Winters,"Sind diese Eremiten nicht super cool? Ich möchte ein paar für meine Sammlung, bevor sie sich alle verstecken.","[playful]Ich jage die [green]Eremiten[/green] immer wieder und wieder. Wo denkst du, leben sie? Sie sind immer in Bewegung!///[shocked]Aber wenn ich fertig bin, vergesse ich, sie zu fangen. Ups. Denkst du, dass du mir dabei helfen kannst, #player_name#?","[shocked]Hey, das sind ja die [green]Eremiten[/green], genau wie ich sie haben wollte! Danke, #player_name#, du bist die beste Katze bei der Käferjagd aller Zeiten!"
