file,extension,path,lang_mail_subject,lang_mail_content_header,lang_mail_content_body,lang_mail_content_signature
mysteriousyearsendletteryear2,.lang,mail\lang\german\mysteriousyearsendletteryear2.lang,Zwei Jahre sind vergangen,"Liebe Katze #player_name#,","es sind nun zwei Jahre vergangen, seitdem du nach Wildwood gezogen bist. Du bist jetzt stärker als je zuvor. Vertraue in diesem kommenden Jahr auf dein Herz. Es wird dich nicht im Stich lassen.",Eine befreundete Katze
mysteriousyearsendletteryear3,.lang,mail\lang\german\mysteriousyearsendletteryear3.lang,Drei Jahre sind vergangen,"Liebe Katze #player_name#,","während du dein drittes volles Lebensjahr in Wildwood abschließt, nimm dir einen Moment Zeit, um über all die befreundeten Katzen nachzudenken, die dir auf deinem Weg geholfen haben. Wir sind alle stärker, wenn wir Teil einer Gemeinschaft sind.",Eine befreundete Katze
mysteriousyearsendletteryear4,.lang,mail\lang\german\mysteriousyearsendletteryear4.lang,Vier Jahre sind vergangen,"Liebe Katze #player_name#,","es braucht ein starkes Oberhaupt, um in einer so rauen Umgebung wie Wildwood so lange zu überleben. Dein Volk gedeiht dank deiner Weisheit. Behandle deine Nachbarskatzen gut und du wirst weiterhin gedeihen.",Eine befreundete Katze
mysteriousyearsendletteryear5,.lang,mail\lang\german\mysteriousyearsendletteryear5.lang,Fünf Jahre sind vergangen,"Liebe Katze #player_name#,","fünf Jahre! So viele Erinnerungen hier in Wildwood. Hervorragende Arbeit, #player_name#. Wenn du ins neue Jahr gehst, denke daran, wie viel harte Arbeit es gebraucht hat, um hierherzukommen.",Eine befreundete Katze
newinventoryember1,.lang,mail\lang\german\newinventoryember1.lang,Neue Gegenstände!,"Wie geht es dir, #player_name#?","Frohes neues Jahr! Ich habe kürzlich eine Lieferung brandneuer Gegenstände erhalten, die ich im Laden verkaufen werde. Schau jederzeit vorbei und ich zeige dir gerne, was es Neues gibt.",Von #npc_name_ember#
newinventoryember2,.lang,mail\lang\german\newinventoryember2.lang,Neue Lieferung!,"Wie geht es dir, #player_name#?","Eine weitere Lieferung ist angekommen! Ich bereite gerade die Regale vor. Du solltest mal vorbeikommen, um all die neuen Sachen zu sehen, die ich zum Verkauf habe.",Von #npc_name_ember#
newnameelli,.lang,mail\lang\german\newnameelli.lang,Neuer Name?,"Guten Tag, #player_name#!","Gefällt dir dein neuer Name?
#player_name# ... Es hat wirklich einen schönen Klang! Es passt gut zu dir.",Von #npc_name_elli#!
niceweatherchamp,.lang,mail\lang\german\niceweatherchamp.lang,Schönes Wetter,Was gibt's?,"Du solltest nicht faul werden, nur weil es draußen warm ist. Es gibt keine bessere Zeit, um deine Muskeln zu trainieren, als dann, wenn alle anderen faulenzen. Weniger Konkurrenz bedeutet mehr sichtbare Fortschritte!",Los geht's! – #npc_name_champ#
reportborderstalon,.lang,mail\lang\german\reportborderstalon.lang,Bericht: Grenzen,"#player_name#,","es gibt viel Aktivität in Wildwood. Gefährliche Schattenkatzen wurden gesichtet, die sich viel zu nah der Stadt nähern. Ich habe die Bedrohung vorerst beseitigt, aber seien Sie auf der Hut. Ich habe einen Beweis meiner Arbeit angehängt.",Mit Respekt - #npc_name_talon#
reportpreytalon,.lang,mail\lang\german\reportpreytalon.lang,Bericht: Beute,#player_name#:,"Ich freue mich, berichten zu können, dass es im Wildwood eine Fülle von Beute gibt. Auf meinen Reisen habe ich mehrere köstliche Kreaturen angetroffen. Ich habe eine Probe diesem Bericht beigefügt.",Mit Respekt - #npc_name_talon#
rivalmarriagecompletealabasterandfliss,.lang,mail\lang\german\rivalmarriagecompletealabasterandfliss.lang,Eine Dankeskarte,"Hey, #player_name#,","ich schreibe dir, um mich für deine Freundschaft sowohl zu mir als auch zu #npc_name_alabaster# zu bedanken. Ich weiß einfach, dass wir sehr glücklich zusammen sein werden. In diesem Brief ist ein kleines Zeichen meiner Wertschätzung enthalten.",Hochachtungsvoll - #npc_name_fliss#
rivalmarriagecompletebobandbuttercup,.lang,mail\lang\german\rivalmarriagecompletebobandbuttercup.lang,Dankbarkeit,"Hallo, #player_name#,","nach unserer Hochzeitszeremonie wurde ich wirklich überwältigt von einem Gefühl der Dankbarkeit für all die erstaunlichen Freunde in meinem Leben. Du bist eine der besten Katzen. #npc_name_bob# und ich sind dir sehr dankbar, #player_name#.",Danke für alles. - #npc_name_buttercup#
rivalmarriagecompleteelliandchamp,.lang,mail\lang\german\rivalmarriagecompleteelliandchamp.lang,Jawohl!,"Was ist los, #player_name#??","#npc_name_elli# lässt mich all diese „Dankeskarten“ an alle schreiben, die wir kennen, jetzt, wo wir verheiratet sind. Das ist wohl einfach so in der Ehe, oder? Du warst auf der Liste, also hier hast du sie!",Bleib cool. - #npc_name_champ#
rivalmarriagecompletekrampyandtalon,.lang,mail\lang\german\rivalmarriagecompletekrampyandtalon.lang,Glückwunsch!!,An die großherzige Katze #player_name# ...,"Ich kann es kaum glauben! #npc_name_talon# und ich sind jetzt verheiratet. Wir haben viel, wofür wir dankbar sein können, einschließlich deiner Freundschaft.",Feier und Freude! - #npc_name_krampy#
rivalmarriagecompletesparkandlainey,.lang,mail\lang\german\rivalmarriagecompletesparkandlainey.lang,Du bist großartig,"Hey hey, #player_name#!","#npc_name_spark# hat mir alles darüber erzählt, wie gut du zuhören kannst. Ich bin dankbar, dass du und meine Ehekatze so toll befreundet seid. Wow, es fühlt sich seltsam an, #npc_name_spark# so zu nennen, aber ich werde mich daran gewöhnen!",Ich bin so aufgeregt! - Von #npc_name_lainey#
rosemarymovedin,.lang,mail\lang\german\rosemarymovedin.lang,Gefunden,"Hey Schatz,","ich bin endlich eingezogen. Puh, das Auspacken all dieser Kisten war wirklich viel Arbeit. Wie auch immer. Ich habe das hier am Boden der allerletzten Kiste gefunden und ich habe keine Ahnung, wo es herkommt, aber ich musste dabei an dich denken. Du kannst es haben, okay?",Gern geschehen! – #npc_name_rosemary#
sparebuttercup,.lang,mail\lang\german\sparebuttercup.lang,Extra Eichhörnchen,"Oh, hey, #player_name#!","Ich habe gerade meine Lagerkiste aufgeräumt und festgestellt, dass ich ein paar zusätzliche Eichhörnchen habe und keinen Platz, um sie zu lagern. Willst du sie haben? Sie sind jetzt dein Problem.",Von #npc_name_buttercup#
stayhealthykrampy,.lang,mail\lang\german\stayhealthykrampy.lang,Bleib gesund!,"Grüße, #player_name#!","Doktor #npc_name_krampy# hier. Es ist ziemlich kalt geworden, was die Chance erhöht, dass du dir eine gefährliche Krankheit einfangen könntest. Ich habe etwas beigefügt, dass dir helfen soll. Achte in dieser Wintersaison auf deine Gesundheit!",Herzlichste Grüße - #npc_name_krampy#
summeralert,.lang,mail\lang\german\summeralert.lang,Sommerzeit!,"Hallo, #player_name#,","es ist jetzt schön warm, da der Sommer angekommen ist! Es ist die perfekte Zeit, um mit einer befreundeten Katze die Wildnis zu erkunden. Sind die Schmetterlinge nicht so hübsch? Ich könnte den ganzen Tag damit verbringen, ihnen beim Flattern zuzusehen.",Von #npc_name_coco#
takecareofyourselfkrampy,.lang,mail\lang\german\takecareofyourselfkrampy.lang,Pass auf!,"Hallo, #player_name#!","Ich schreibe dir, weil du kürzlich die Klinik besucht hast, um dich untersuchen zu lassen. Es war mir eine Freude, dir medizinische Hilfe zu leisten! Bitte pass gut auf dich auf da draußen. Ich habe einige Heilkräuter kostenlos beigefügt, um dir auf deinem Weg zu helfen.",Doktor #npc_name_krampy#
talonsquadsintro,.lang,mail\lang\german\talonsquadsintro.lang,Taktiken,"#player_name#,","ich habe einen Katzentrupp, der auf seinen täglichen Einsatz wartet. Sagen Sie mir, wohin ich ihn schicken soll, und ich werde den Befehl erteilen. Der Trupp kann uns helfen, neues Territorium zu erobern oder Ressourcen aus Gebieten zu sammeln, die wir bereits besitzen.",Ich warte auf Anweisungen. – #npc_name_talon#
taskintroduction,.lang,mail\lang\german\taskintroduction.lang,Arbeitsauftrag!,"Hallo, #player_name#,","wenn Sie jemals nach Arbeit suchen, schauen Sie unbedingt an der Aufgabentafel vorbei. Katzen nutzen sie, um ungewöhnliche Aufgaben zu posten, die erledigt werden müssen. Wenn Sie eine Aufgabe abschließen, werden Sie sicherlich belohnt!",Von #npc_name_coco#
teasingletterfromlainey,.lang,mail\lang\german\teasingletterfromlainey.lang,Wer ist die Glückskatze?,"Heeeeeeyyyy, #player_name#!","Ich habe durch die Gerüchteküche erfahren, dass du jetzt jemand Besonderen hast! Los, verrate es! Wer ist es? Ich bin gespannt auf mehr. Ich möchte alle Details wissen.

(P.S.: Herzlichen Glückwunsch :D)",Sag es mir schon! #npc_name_lainey#
visitedclinickrampy,.lang,mail\lang\german\visitedclinickrampy.lang,"Grüße, befreundete Katze!","Hallo, #player_name#!","#npc_name_krampy# hier! Ich schreibe, um dir mitzuteilen, dass meine Klinik jetzt geöffnet ist. Wenn du medizinische Hilfe benötigst, denk an mich! Ich kann fast alles verarzten*.
(* Fast alles! Eines Tages werde ich in der Lage sein, diesen Haftungsausschluss zu entfernen.)",Doktor #npc_name_krampy#
visitedshopember,.lang,mail\lang\german\visitedshopember.lang,Große Eröffnung!,"Wie geht es dir, #player_name#?","Ich freue mich, verkünden zu können, dass das Kaufhaus jetzt geöffnet ist! Wenn du etwas Bestimmtes suchst, lass es mich wissen und ich helfe dir gerne weiter. Ich kann auch deine Gegenstände kaufen, wenn du etwas Miaus benötigst. Herausragender Service ist mein Ziel!",Von #npc_name_ember#
welcome,.lang,mail\lang\german\welcome.lang,Wir haben es geschafft!,"Hallo, #player_name#,","nun, wir sind endlich angekommen! Das ist jetzt unser neues Zuhause. Ist es nicht erstaunlich? Lasst uns alle unseren Teil dazu beitragen, um unseren Erfolg sicherzustellen, jetzt wo wir uns für einen Platz zum Niederlassen entschieden haben.",Mit freundlichen Grüßen - #npc_name_coco#
winteralert,.lang,mail\lang\german\winteralert.lang,Der Winter ist angekommen!,"Hallo, #player_name#,","ich bin sicher, Sie haben es bemerkt, aber der Schnee liegt auf dem Boden und der Winter ist gekommen, um zu bleiben! Passen Sie bitte auf sich auf bei dem kalten Wetter. Wenn Sie hungrig sind, können Sie ein paar leckere Blaubeeren in der Wildnis finden.",Von #npc_name_coco#
