file,extension,path,lang_mail_subject,lang_mail_content_header,lang_mail_content_body,lang_mail_content_signature
rivalmarriagecompleteelliandchamp,.lang,mail\lang\spanish\rivalmarriagecompleteelliandchamp.lang,¡Eso!,"¿¿Qué tal, #player_name#??","Ahora que nos casamos, #npc_name_elli# me hace escribir estas tarjetas de agradecimiento para todos nuestros conocidos. Supongo que así funciona el matrimonio, ¿no? Y como tú estabas en la lista, ¡pues aquí tienes!",No dejes de ser genial. #npc_name_champ#
rivalmarriagecompletekrampyandtalon,.lang,mail\lang\spanish\rivalmarriagecompletekrampyandtalon.lang,¡Qué dicha!,Benevolente #player_name#...,"¡Apenas puedo creerlo! #npc_name_talon# y yo nos hemos desposado. Tenemos mucho por lo que agradecer, incluyendo tu amistad. Adjunto un recuerdo adicional de la fiesta, ¡parece que pedimos demasiado para la ceremonia!",¡Regocijémonos! #npc_name_krampy#
rivalmarriagecompletesparkandlainey,.lang,mail\lang\spanish\rivalmarriagecompletesparkandlainey.lang,Eres increíble,"¡Hola, #player_name#!","#npc_name_spark# me contó que sabes escuchar a los demás. Te agradezco por ser una amistad tan increíble para mi cónyuge. ¡Se siente extraño llamar a #npc_name_spark# así, pero ya me acostumbraré!",¡Qué alegría! De parte de #npc_name_lainey#
rosemarymovedin,.lang,mail\lang\spanish\rosemarymovedin.lang,Encontré esto,"Hola, cariño.","Finalmente terminé de mudarme. Caray, desempacar todas esas cajas fue mucho trabajo. Como sea, encontré esto en el fondo de la última caja y no tengo idea de dónde salió, pero me hizo pensar en ti. Puedes quedártelo, ¿sí?",¡De nada! -#npc_name_rosemary#
sparebuttercup,.lang,mail\lang\spanish\sparebuttercup.lang,Ardillas extra,"¡Hola, #player_name#!","Estaba limpiando mi caja de almacenamiento y descubrí que tengo un par de ardillas de más, pero no hay espacio para guardarlas. ¿Las quieres? Ahora son tu problema.",De #npc_name_buttercup#
stayhealthykrampy,.lang,mail\lang\spanish\stayhealthykrampy.lang,¡Mantente saludable!,"¡Saludos, #player_name#!","Terapeuta #npc_name_krampy# aquí. No sé si te has dado cuenta, pero comenzó a nevar hace poco. Hace bastante frío, lo que aumenta la posibilidad de que contraigas una enfermedad peligrosa. Adjunté algo que te servirá. ¡Cuida de tu salud en esta temporada de invierno!","Saludos cordiales, #npc_name_krampy#"
summeralert,.lang,mail\lang\spanish\summeralert.lang,¡Verano!,"Hola, #player_name#.",¡El clima está agradable y cálido ahora que llegó el verano! Es el momento perfecto para explorar la naturaleza con tus colegas. ¿No son hermosas las mariposas? Podría pasar todo el día observándolas revolotear.,De #npc_name_coco#
takecareofyourselfkrampy,.lang,mail\lang\spanish\takecareofyourselfkrampy.lang,¡Cuídate!,"¡Hola, #player_name#!","Te escribo porque recientemente visitaste la clínica para hacerte un chequeo. ¡Fue un placer brindarte asistencia médica! Por favor, cuídate mucho allá afuera. Adjunto algunas hierbas curativas que te servirán, sin costo alguno.",Curagatos #npc_name_krampy#
talonsquadsintro,.lang,mail\lang\spanish\talonsquadsintro.lang,Tácticas,#player_name#:,Tengo un escuadrón listo para su misión diaria. Dime a dónde enviarlo y daré la orden. Puede ayudarnos a capturar nuevos territorios o buscar recursos en las tierras que ya poseemos.,Esperando órdenes. -#npc_name_talon#
taskintroduction,.lang,mail\lang\spanish\taskintroduction.lang,¡Orden de trabajo!,"Hola, #player_name#:","Si alguna vez buscas trabajo que hacer, asegúrate de pasar por el Tablero de Tareas. Los gatos lo usan para publicar tareas que necesitan realizarse. ¡Complétalas y recibe una recompensa!",De #npc_name_coco#
teasingletterfromlainey,.lang,mail\lang\spanish\teasingletterfromlainey.lang,¡Qué suerte!,¡Holaaaaaa #player_name#!,"Me dijo un pajarito que hay alguien especial en tu vida. 
¡Anda, cuéntame! ¿¿Quién es?? Me muero por saber. Quiero todos los detalles.

(P.D. Felicitaciones :D)",¡Dímelo ya! #npc_name_lainey#
visitedclinickrampy,.lang,mail\lang\spanish\visitedclinickrampy.lang,"¡Saludos, camarada!","¡Hola, #player_name#!","¡Aquí #npc_name_krampy#! Te escribo para avisarte que mi clínica ya está abierta al público. Si precisas asistencia médica, ¡ven a visitarme! Puedo tratar cualquier cosa*.
(*Casi cualquier cosa. Algún día podré eliminar esta advertencia.)",Especialista #npc_name_krampy#
visitedshopember,.lang,mail\lang\spanish\visitedshopember.lang,¡Gran inauguración!,"¿Cómo estás, #player_name#?","¡Me complace anunciar que la tienda ya está abierta! Si buscas algo en particular, dímelo y con mucho gusto te ayudaré. También puedo comprar tus artículos si necesitas mius. ¡Mi objetivo es ofrecer un servicio excelente!",De #npc_name_ember#
welcome,.lang,mail\lang\spanish\welcome.lang,¡Lo logramos!,"Hola, #player_name#:","¡Finalmente hemos llegado! Este es nuestro nuevo hogar. ¿No es maravilloso? Hagamos lo posible para garantizar nuestro éxito, ahora que elegimos un lugar donde asentarnos. ¡Estoy impaciente por ver qué nos espera!","Saludos, #npc_name_coco#"
winteralert,.lang,mail\lang\spanish\winteralert.lang,¡El invierno ya llegó!,"Hola, #player_name#:","Seguramente ya te has dado cuenta, pero la nieve se está acumulando en el suelo. ¡El invierno llegó para quedarse! Cuídate del frío. Las presas serán más difíciles de hallar con este clima. Si tienes hambre, puede que encuentres algunos sabrosos arándanos en la naturaleza.",De #npc_name_coco#
